fourteenth,"n. position 14 in a countable series of things
s. coming next after the thirteenth in position"
nature,"n. the essential qualities or characteristics by which something is recognized
n. a causal agent creating and controlling things in the universe
n. the natural physical world including plants and animals and landscapes etc.
n. the complex of emotional and intellectual attributes that determine a person's characteristic actions and reactions"
vocabulary,"n. a listing of the words used in some enterprise
n. a language user's knowledge of words
n. the system of techniques or symbols serving as a means of expression (as in arts or crafts)"
list,"n. a database containing an ordered array of items (names or topics)
v. give or make a list of; name individually; give the names of
v. include in a list
v. cause to lean to the side"
comma,"n. a punctuation mark (,) used to indicate the separation of elements within the grammatical structure of a sentence
n. anglewing butterfly with a comma-shaped mark on the underside of each hind wing"
zoo,n the facility where wild animals are housed for exhibition
hide,"n. the dressed skin of an animal (especially a large animal)
n. body covering of a living animal
v. prevent from being seen or discovered
v. be or go into hiding; keep out of sight, as for protection and safety"
quality,"n. an essential and distinguishing attribute of something or someone
n. a degree or grade of excellence or worth
n. a characteristic property that defines the apparent individual nature of something
n. high social status"
grass,"n. narrow-leaved green herbage: grown as lawns; used as pasture for grazing animals; cut and dried as hay
n. German writer of novels and poetry and plays (born 1927)
v. shoot down, of birds
v. cover with grass"
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
flower,"n. a plant cultivated for its blooms or blossoms
n. reproductive organ of angiosperm plants especially one having showy or colorful parts
n. the period of greatest prosperity or productivity"
continue,"v. continue a certain state, condition, or activity
v. continue talking
v. keep or maintain in unaltered condition; cause to remain or last
v. do something repeatedly and showing no intention to stop"
furniture,n. furnishings that make a room or other area ready for occupancy
Christmas,"n. period extending from Dec. 24 to Jan. 6
n. a Christian holiday celebrating the birth of Christ; a quarter day in England, Wales, and Ireland"
snow,"n. precipitation falling from clouds in the form of ice crystals
n. a layer of snowflakes (white crystals of frozen water) covering the ground
n. English writer of novels about moral dilemmas in academe (1905-1980)
v. fall as snow"
comedy,n. light and humorous drama with a happy ending
miss,"n. a failure to hit (or meet or find etc)
n. a form of address for an unmarried woman
v. fail to perceive or to catch with the senses or the mind
v. feel or suffer from the lack of"
Africa,n. the second largest continent; located to the south of Europe and bordered to the west by the South Atlantic and to the east by the Indian Ocean
object,"n. a tangible and visible entity; an entity that can cast a shadow
n. (grammar) a constituent that is acted upon
n. the focus of cognitions or feelings
n. (computing) a discrete item that provides a description of virtually anything known to a computer"
Canada,n. a nation in northern North America; the French were the first Europeans to settle in mainland Canada
invite,"n. a colloquial expression for invitation
v. increase the likelihood of
v. invite someone to one's house
v. ask someone in a friendly way to do something"
mind,"n. that which is responsible for one's thoughts and feelings; the seat of the faculty of reason
n. recall or remembrance
n. attention
n. your intention; what you intend to do"
easily,"r. with ease (`easy' is sometimes used informally for `easily')
r. without question"
win,"n. a victory (as in a race or other competition)
v. be the winner in a contest or competition; be victorious"
glove,n. handwear: covers the hand and wrist
president,"n. an executive officer of a firm or corporation
n. the chief executive of a republic
n. the officer who presides at the meetings of an organization
n. the head administrative officer of a college or university"
