looter,n someone who takes spoils or plunder (as in war)
patented,s. (of devices and processes) protected by patent
chieftain,"n the leader of a group of people
n the head of a tribe or clan"
thistle,n. any of numerous plants of the family Compositae and especially of the genera Carduus and Cirsium and Onopordum having prickly-edged leaves
redraw,"v. t. To draw again; to make a second draft or copy of; to
   redraft.
v. i. To draw a new bill of exchange, as the holder of a
   protested bill, on the drawer or indorsers."
contort,v. twist and press out of shape
belle,n. a young woman who is the most charming and beautiful of several rivals
accredited,s. given official approval to act
welder,n. joins pieces of metal by welding them together
unaccustomed,"a. not habituated to; unfamiliar with
s. not customary or usual"
boldness,"n. the trait of being willing to undertake things that involve risk or danger
n. impudent aggressiveness
n. the quality of standing out strongly and distinctly"
eighth-grade,none
wired,"a. equipped with wire or wires especially for electric or telephone service
s. tied or bound with wire"
minefield,n. a region in which explosives mines have been placed
whirl,"n. confused movement
n. the shape of something rotating rapidly
v. cause to spin
v. fly around"
defensible,s capable of being defended
lance,"v. move quickly, as if by cutting one's way
v. pierce with a lance, as in a knights' fight
v. open by piercing with a lancet"
populism,n. the political doctrine that supports the rights and powers of the common people in their struggle with the privileged elite
lair,n. the habitation of wild animals
infatuation,"n. a foolish and usually extravagant passion or love or admiration
n. an object of extravagant short-lived passion"
admitting,"v declare to be true or admit the existence or reality or truth of
v allow to enter; grant entry to
v allow participation in or the right to be part of; permit to exercise the rights, functions, and responsibilities of
v admit into a group or community
v afford possibility
v give access or entrance to
v have room for; hold without crowding
v serve as a means of entrance"
tiptoe,"n. the tip of a toe
v. walk on one's toes
s. walking on the tips of ones's toes so as to make no noise
r. on tiptoe or as if on tiptoe"
octave,"n. a feast day and the seven days following it
n. a musical interval of eight tones
n. a rhythmic group of eight lines of verse"
deathbed,"n. the last few hours before death
n. the bed on which a person dies"
hang,"n. the way a garment hangs
n. a gymnastic exercise performed on the rings or horizontal bar or parallel bars when the gymnast's weight is supported by the arms
v. be suspended or hanging
v. cause to be hanging or suspended"
stalwart,"s. dependable
s. used especially of persons"
value-added,none
grand,"s. large and impressive in physical size or extent
s. the most important and magnificent in adornment"
flutter,"n. abnormally rapid beating of the auricles of the heart (especially in a regular rhythm); can result in heart block
v. flap the wings rapidly or fly with flapping movements"
invalid,"n. someone who is incapacitated by a chronic illness or injury
v. force to retire, remove from active duty, as of firemen
a. having no cogency or legal force
s. no longer valid"
imperialist,n. a believer in imperialism
microchip,n electronic equipment consisting of a small crystal of a silicon semiconductor fabricated to carry out a number of electronic functions in an integrated circuit
germinate,v. cause to grow or sprout
miniature,"n. painting or drawing included in a book (especially in illuminated medieval manuscripts)
n. a copy that reproduces a person or thing in greatly reduced size
s. being on a very small scale"
internist,n. a specialist in internal medicine
holdout,"n. a negotiator who hopes to gain concessions by refusing to come to terms
n. a refusal by a negotiator to come to terms in the hope of obtaining a better deal
n. the act of hiding playing cards in a gambling game so they are available for personal use later"
pancreas,n. a large elongated exocrine gland located behind the stomach; secretes pancreatic juice and insulin
chiffon,n. a sheer fabric of silk or rayon
buffet,"n. a piece of furniture that stands at the side of a dining room; has shelves and drawers
n. a meal set out on a buffet at which guests help themselves
v. strike against forcefully
v. strike, beat repeatedly"
imperil,v pose a threat to; present a danger to
sorcerer,n. one who practices magic or sorcery
vernacular,n. the everyday speech of the people (as distinguished from literary language)
tact,n. consideration in dealing with others and avoiding giving offense
matched,"s. provided with a worthy adversary or competitor
a. going well together; possessing harmonizing qualities"
marcher,"n. an inhabitant of a border district
n. walks with regular or stately step"
fortification,"n. defensive structure consisting of walls or mounds built around a stronghold to strengthen it
n. the art or science of strengthening defenses
n. the addition of an ingredient for the purpose of enrichment (as the addition of alcohol to wine or the addition of vitamins to food)"
loll,"v hang loosely or laxly
v be lazy or idle"
shockingly,"r. extremely
r. so as to shock the feelings"
snipe,"n. Old or New World straight-billed game bird of the sandpiper family; of marshy areas; similar to the woodcocks
n. a gunshot from a concealed location
v. hunt or shoot snipe"
constitutive,s constitutional in the structure of something (especially your physical makeup)
mallet,"n. a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball
n. a light drumstick with a rounded head that is used to strike such percussion instruments as chimes, kettledrums, marimbas, glockenspiels, etc.
n. a tool resembling a hammer but with a large head (usually wooden); used to drive wedges or ram down paving stones or for crushing or beating or flattening or smoothing"
