nursery,n. a child's room for a baby
hijack,"n. seizure of a vehicle in transit either to rob it or divert it to an alternate destination
v. seize control of"
operant,s. having influence or producing an effect
hallucination,"n. illusory perception; a common symptom of severe mental disorder
n. an object perceived during a hallucinatory episode"
turf,"n. surface layer of ground containing a mat of grass and grass roots
n. the territory claimed by a juvenile gang as its own
n. range of jurisdiction or influence
v. cover (the ground) with a surface layer of grass or grass roots"
inventive,s (used of persons or artifacts) marked by independence and creativity in thought or action
inventiveness,n. the power of creative imagination
trillion,"n. the number that is represented as a one followed by 18 zeros
n. the number that is represented as a one followed by 12 zeros
s. one quintillion in Great Britain
s. one million million in the United States"
cleanser,n a preparation used in cleaning something
savant,n someone who has been admitted to membership in a scholarly field
femininity,n. the trait of behaving in ways considered typical for women
ordination,"n. the status of being ordained to a sacred office
n. the act of ordaining; the act of conferring (or receiving) holy orders"
treasury,"n. the funds of a government or institution or individual
n. the government department responsible for collecting and managing and spending public revenues
n. negotiable debt obligations of the United States government which guarantees that interest and principal payments will be paid on time
n. the British cabinet minister responsible for economic strategy"
treasure,"n. accumulated wealth in the form of money or jewels etc.
n. any possession that is highly valued by its owner
n. a collection of precious things"
homegrown,s. grown or originating in a particular place
orchestrate,v. write an orchestra score for
zodiac,"n. a belt-shaped region in the heavens on either side to the ecliptic; divided into 12 constellations or signs for astrological purposes
n. (astrology) a circular diagram representing the 12 zodiacal constellations and showing their signs"
cleave,"v. separate or cut with a tool, such as a sharp instrument
v. make by cutting into"
reluctance,"n. (physics) opposition to magnetic flux (analogous to electric resistance)
n. a certain degree of unwillingness"
sedition,n. an illegal action inciting resistance to lawful authority and tending to cause the disruption or overthrow of the government
unionise,"v recruit for a union or organize into a union
v form or join a union"
poach,"v. hunt illegally
v. cook in a simmering liquid"
doctoral,a. of or relating to a doctor or doctorate
ordinate,n. the value of a coordinate on the vertical axis
deli,n a shop selling ready-to-eat food products
hominid,n. a primate of the family Hominidae
lender,n. someone who lends money or gives credit in business matters
coupon,"n. a negotiable certificate that can be detached and redeemed as needed
n. a test sample of some substance"
windfall,n. fruit that has fallen from the tree
beneficence,"n. doing good; feeling beneficent
n. the quality of being kind or helpful or generous"
onerous,"s not easily borne; wearing; I only had to greet the guests"""
graveyard,n a tract of land used for burials
psychiatrist,n. a physician who specializes in psychiatry
dishonour,"n a state of shame or disgrace
n lacking honor or integrity
v bring shame or dishonor upon
v force (someone) to have sex against their will
v refuse to accept"
collegiate,a. of or resembling or typical of a college or college students
reproduce,"v. make a copy or equivalent of
v. have offspring or produce more individuals of a given animal or plant
v. recreate a sound, image, idea, mood, atmosphere, etc."
