admission,"n. the act of admitting someone to enter
n. an acknowledgment of the truth of something"
earring,n. jewelry to ornament the ear; usually clipped to the earlobe or fastened through a hole in the lobe
ease,"n. freedom from difficulty or hardship or effort
n. a freedom from financial difficulty that promotes a comfortable state
n. freedom from constraint or embarrassment
v. move gently or carefully"
Easter,n. a Christian celebration of the Resurrection of Christ; celebrated on the Sunday following the first full moon after the vernal equinox
easy-going,"a. Moving easily; hence, mild-tempered; ease-loving;
   inactive."
eccentricity,"n. strange and unconventional behavior
n. (geometry) a ratio describing the shape of a conic section; the ratio of the distance between the foci to the length of the major axis
n. a circularity that has a different center or deviates from a circular path"
echo,"n. the repetition of a sound resulting from reflection of the sound waves
n. (Greek mythology) a nymph who was spurned by Narcissus and pined away until only her voice remained
n. a reply that repeats what has just been said
n. a reflected television or radio or radar beam"
ecology,"n. the environment as it relates to living organisms
n. the branch of biology concerned with the relations between organisms and their environment"
ecstasy,"n. a state of being carried away by overwhelming emotion
n. a state of elated bliss"
edge,"n. the boundary of a surface
n. a sharp side formed by the intersection of two surfaces of an object
n. the attribute of urgency in tone of voice
n. a slight competitive advantage"
editorial,"a. of or relating to an article stating opinions or giving perspectives
a. relating to or characteristic of an editor"
educationist,n. a specialist in the theory of education
eggplant,"n. egg-shaped vegetable having a shiny skin typically dark purple but occasionally white or yellow
n. hairy upright herb native to southeastern Asia but widely cultivated for its large glossy edible fruit commonly used as a vegetable"
elapse,v. pass by
elastic,"n. a fabric made of yarns containing an elastic material
a. capable of resuming original shape after stretching or compression; springy
s. able to adjust readily to different conditions"
elbow,"n. hinge joint between the forearm and upper arm and the corresponding joint in the forelimb of a quadruped
n. a sharp bend in a road or river
n. a length of pipe with a sharp bend in it
n. the part of a sleeve that covers the elbow joint"
elect,"v. select by a vote for an office or membership
v. choose
s. selected as the best
s. elected but not yet installed in office"
electrical,a. relating to or concerned with electricity
electrician,n. a person who installs or repairs electrical or telephone lines
electron,n. an elementary particle with negative charge
elevation,"n. the event of something being raised upward
n. angular distance above the horizon (especially of a celestial object)
n. distance of something above a reference point (such as sea level)"
elliptical,"s rounded like an egg
s characterized by extreme economy of expression or omission of superfluous elements"
elm,"n. any of various trees of the genus Ulmus: important timber or shade trees
n. hard tough wood of an elm tree; used for e.g. implements and furniture"
eloquence,n. powerful and effective language
eloquent,"s. expressing yourself readily, clearly, effectively"
emancipation,n. freeing someone from the control of another; especially a parent's relinquishing authority and control over a minor child
embankment,n. a long artificial mound of stone or earth; built to hold back water or to support a road or as protection
embargo,"n. a government order imposing a trade barrier
v. ban the publication of (documents), as for security or copyright reasons
v. prevent commerce"
embark,"v. go on board
v. set out on (an enterprise or subject of study)"
embroidery,n. decorative needlework
embryo,"n. (botany) a minute rudimentary plant contained within a seed or an archegonium
n. an animal organism in the early stages of growth and differentiation that in higher forms merge into fetal stages but in lower forms terminate in commencement of larval life"
emerald,"n. a green transparent form of beryl; highly valued as a gemstone
n. a transparent piece of emerald that has been cut and polished and is valued as a precious gem
n. the green color of an emerald"
emigrant,n. someone who leaves one country to settle in another
emigrate,v. leave one's country of residence for a new one
emigration,n. migration from a place (especially migration from your native country in order to settle in another)
eminence,n. high status importance owing to marked superiority
emission,"n. the act of emitting; causing to flow forth
n. the release of electrons from parent atoms
n. the occurrence of a flow of water (as from a pipe)"
