abroad,"s. in a foreign country
r. to or in a foreign country"
relieve,"v. provide physical relief, as from pain
v. free from a burden, evil, or distress
v. take by stealing
v. alleviate or remove (pressure or stress) or make less oppressive"
reminder,"n. a message that helps you remember something
n. an experience that causes you to remember something"
remnant,"n a small part or portion that remains after the main part no longer exists
n a piece of cloth that is left over after the rest has been used or sold"
remote,"n a device that can be used to control a machine or apparatus from a distance
s located far away spatially
s very unlikely
s separate or apart in time
s inaccessible and sparsely populated; 
a far apart in relevance or relationship or kinship"
reservation,"n. a district that is reserved for particular purpose
n. a statement that limits or restricts some claim
n. the written record or promise of an arrangement by which accommodations are secured in advance
n. something reserved in advance (as a hotel accommodation or a seat on a plane etc.)"
resolute,a. firm in purpose or belief; characterized by firmness and determination
resonance,"n. an excited state of a stable particle causing a sharp maximum in the probability of absorption of electromagnetic radiation
n. a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system
n. the quality imparted to voiced speech sounds by the action of the resonating chambers of the throat and mouth and nasal cavities"
restless,"s. worried and uneasy
s. ceaselessly in motion
a. lacking or not affording physical or mental rest"
reticent,"s. temperamentally disinclined to talk
s. reluctant to draw attention to yourself"
savvy,"n the cognitive condition of someone who understands
v get the meaning of something"
slander,n. words falsely spoken that damage the reputation of another
slang,"n. informal language consisting of words and expressions that are not considered appropriate for formal occasions; often vituperative or vulgar
n. a characteristic language of a particular group (as among thieves)
v. use slang or vulgar language
v. abuse with coarse language"
slit,"n. a long narrow opening
n. a narrow fissure
v. make a clean cut through
v. cut a slit into"
slot,"n. a position in a grammatical linguistic construction in which a variety of alternative units are interchangeable
n. a small slit (as for inserting a coin or depositing mail)
n. a position in a hierarchy or organization
n. the trail of an animal (especially a deer)"
sloth,"n. a disinclination to work or exert yourself
n. any of several slow-moving arboreal mammals of South America and Central America; they hang from branches back downward and feed on leaves and fruits
n. apathy and inactivity in the practice of virtue (personified as one of the deadly sins)"
sluggish,s. moving slowly
slum,"n. a district of a city marked by poverty and inferior living conditions
v. spend time at a lower socio-economic level than one's own, motivated by curiosity or desire for adventure; usage considered condescending and insensitive"
smash,"n. a serious collision (especially of motor vehicles)
v. hit hard
v. break into pieces, as by striking or knocking over
v. hit violently"
smear,"n. slanderous defamation
n. a thin tissue or blood sample spread on a glass slide and stained for cytologic examination and diagnosis under a microscope
v. stain by smearing or daubing with a dirty substance
v. make a smudge on; soil by smudging"
smelly,s offensively malodorous
smother,"n. a stifling cloud of smoke
v. envelop completely
v. deprive of oxygen and prevent from breathing
v. conceal or hide"
snail,"n. freshwater or marine or terrestrial gastropod mollusk usually having an external enclosing spiral shell
v. gather snails"
snap,"n. a spell of cold weather
n. the noise produced by the rapid movement of a finger from the tip to the base of the thumb on the same hand
n. a sudden breaking
n. a fastener used on clothing; fastens with a snapping sound"
snatch,"n. a small fragment
n. a weightlift in which the barbell is lifted overhead in one rapid motion
v. to grasp hastily or eagerly
v. to make grasping motions"
sociable,"n. a party of people assembled to promote sociability and communal activity
a. inclined to or conducive to companionship with others
s. friendly and pleasant"
socket,"n. a bony hollow into which a structure fits
n. receptacle where something (a pipe or probe or end of a bone) is inserted
n. a receptacle into which an electric device can be inserted"
solace,n. comfort in disappointment or misery
soluble,"a. (of a substance) capable of being dissolved in some solvent (usually water)
a. susceptible of solution or of being solved or explained"
spear,"n. a long pointed rod used as a tool or weapon
n. an implement with a shaft and barbed point used for catching fish
v. pierce with a spear
v. thrust up like a spear"
stack,"n. an orderly pile
v. load or cover with stacks
v. arrange in stacks
v. arrange the order of so as to increase one's winning chances"
