sincere,a. open and genuine; not deceitful
calculate,"v. make a mathematical calculation or computation
v. judge to be probable
v. specifically design a product, event, or activity for a certain public"
confess,"v. confess to a punishable or reprehensible deed, usually under pressure
v. confess to God in the presence of a priest, as in the Catholic faith"
appearance,"n. outward or visible aspect of a person or thing
n. the event of coming into sight
n. formal attendance (in court or at a hearing) of a party in an action
n. a mental representation"
virus,"n. (virology) ultramicroscopic infectious agent that replicates itself only within cells of living hosts; many are pathogenic; a piece of nucleic acid (DNA or RNA) wrapped in a thin coat of protein
n. a harmful or corrupting agency
n. a software program capable of reproducing itself and usually capable of causing great harm to files or other programs on the same computer"
ambulance,n. a vehicle that takes people to and from hospitals
liberty,"n. freedom of choice
n. personal freedom from servitude or confinement or oppression"
consequently,"r. (sentence connectors) because of the reason given
r. as a consequence"
insist,"v. be emphatic or resolute and refuse to budge
v. assert to be true"
solar,a. relating to or derived from the sun or utilizing the energies of the sun
flourish,"n. a showy gesture
n. an ornamental embellishment in writing
n. a display of ornamental speech or language
n. the act of waving"
correspondence,n. communication by the exchange of letters
pronoun,n. a function word that is used in place of a noun or noun phrase
property,"n. something owned; any tangible or intangible possession that is owned by someone; 
n. a basic or essential attribute shared by all members of a class
n. a construct whereby objects or individuals can be distinguished
n. any movable articles or objects used on the set of a play or movie"
shave,"n. the act of removing hair with a razor
v. remove body hair with a razor
v. cut closely
v. cut the price of"
selection,n. an assortment of things from which a choice can be made
limited,"a. small in range or scope
s. including only a part
s. mediocre
s. not excessive"
enormous,"s. extraordinarily large in size or extent or amount or power or degree; that a whole civilization should be dependent on technology""- Walter Lippman"
impact,"n. the striking of one body against another
n. a forceful consequence; a strong effect
v. press or wedge together; pack together"
visible,"a. capable of being seen; or open to easy view
s. obvious to the eye
s. present and easily available"
conceal,v. hold back; keep from being perceived by others
earthquake,"n. shaking and vibration at the surface of the earth resulting from underground movement along a fault plane of from volcanic activity
n. a disturbance that is extremely disruptive"
curriculum,n an integrated course of academic studies
feature,"n. a prominent attribute or aspect of something
n. the characteristic parts of a person's face: eyes and nose and mouth and chin
n. the principal (full-length) film in a program at a movie theater
n. a special or prominent article in a newspaper or magazine"
loaf,n. a quantity of food (other than bread) formed in a particular shape
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
