finale,"n. the closing section of a musical composition
n. the concluding part of any performance"
literate,"n. a person who can read and write
a. able to read and write
a. versed in literature; dealing with literature
s. knowledgeable and educated in one or several fields"
battleground,n a region where a battle is being (or has been) fought
supplant,v. take the place or move into the position of
religiously,r. by religion
seeming,"v give a certain impression or have a certain outward aspect
v seem to be true, probable, or apparent
v appear to exist
v appear to one's own mind or opinion
s appearing as such but not necessarily so"
conduit,n. a passage (a pipe or tunnel) through which water or electric wires can pass
teddy,n. plaything consisting of a child's toy bear (usually plush and stuffed with soft materials)
mammogram,n. X-ray film of the soft tissue of the breast
suspense,"n. apprehension about what is going to happen
n. an uncertain cognitive state
n. excited anticipation of an approaching climax"
parity,"n. (obstetrics) the number of liveborn children a woman has delivered
n. (mathematics) a relation between a pair of integers: if both integers are odd or both are even they have the same parity; if one is odd and the other is even they have different parity
n. (physics) parity is conserved in a universe in which the laws of physics are the same in a right-handed system of coordinates as in a left-handed system
n. functional equality"
stern,"n. the rear part of a ship
n. United States concert violinist (born in Russia in 1920)
s. severe and unremitting in making demands"
fresco,"n. a mural done with watercolors on wet plaster
n. a durable method of painting on a wall by using watercolors on wet plaster
v. paint onto wet plaster on a wall"
soil,n. the part of the earth's surface consisting of humus and disintegrated rock
ashtray,n. a receptacle for the ash from smokers' cigars or cigarettes
ditch,"n. a long narrow excavation in the earth
n. any small natural waterway
v. forsake
v. make an emergency landing on water"
sexism,n. discriminatory or abusive behavior towards members of the opposite sex
spirited,"a. displaying animation, vigor, or liveliness"
sexist,s. discriminatory on the basis of sex (usually said of men's attitude toward women)
diagonal,"n. (geometry) a straight line connecting any two vertices of a polygon that are not adjacent
n. a line or cut across a fabric that is not at right angles to a side of the fabric
n. an oblique line of squares of the same color on a checkerboard
n. (mathematics) a set of entries in a square matrix running diagonally either from the upper left to lower right entry or running from the upper right to lower left entry"
tonic,"n. lime- or lemon-flavored carbonated water containing quinine
n. (music) the first note of a diatonic scale
n. a medicine that strengthens and invigorates
a. of or relating to or producing normal tone or tonus in muscles or tissue"
handout,"n. an announcement distributed to members of the press in order to supplement or replace an oral presentation
n. giving money or food or clothing to a needy person"
oppressed,"v come down on or keep down by unjust use of one's authority
v cause to suffer
s burdened psychologically or mentally"
disintegration,n. a loss (or serious disruption) of organization in some system
awakening,n. the act of waking
stupidity,"n. a poor ability to understand or to profit from experience
n. a stupid mistake"
arcade,"n. a covered passageway with shops and stalls on either side
n. a structure composed of a series of arches supported by columns"
nobility,"n. a privileged class holding hereditary titles
n. the quality of elevation of mind and exaltation of character or ideals or conduct
n. the state of being of noble birth"
masked,s. having markings suggestive of a mask
wrench,"n. a sharp strain on muscles or ligaments
n. a hand tool that is used to hold or twist a nut or bolt
v. twist or pull violently or suddenly, especially so as to remove (something) from that to which it is attached or from where it originates
v. make a sudden twisting motion"
gallop,"n. a fast gait of a horse; a two-beat stride during which all four legs are off the ground simultaneously
v. ride at a galloping pace
v. go at galloping speed
v. cause to move at full gallop"
inequity,n injustice by virtue of not conforming with rules or standards
burrow,"n. a hole made by an animal, usually for shelter
v. move through by or as by digging"
patriot,n. one who loves and defends his or her country
clutter,"n. a confused multitude of things
n. unwanted echoes that interfere with the observation of signals on a radar screen
v. fill a space in a disorderly way"
obituary,n. a notice of someone's death; usually includes a short biography
morgue,n. a building (or room) where dead bodies are kept before burial or cremation
tango,"n. a ballroom dance of Latin-American origin
n. music written in duple time for dancing the tango
v. dance a tango"
lounge,"n. a room (as in a hotel or airport) with seating where people can wait
v. sit or recline comfortably"
clear-cut,"v. remove all the trees at one time
s. clearly or sharply defined to the mind
s. having had all the trees removed at one time"
sill,"n. structural member consisting of a continuous horizontal timber forming the lowest member of a framework or supporting structure
n. (geology) a flat (usually horizontal) mass of igneous rock between two layers of older sedimentary rock"
deterrence,n. the act or process of discouraging actions or preventing occurrences by instilling fear or doubt or anxiety
