abroad,"s. in a foreign country
r. to or in a foreign country"
expanse,n. a wide and open space or area as of surface or land or sky
expectation,"n. belief about (or mental picture of) the future
n. the feeling that something is about to happen"
expedition,"n. a military campaign designed to achieve a specific objective in a foreign country
n. an organized group of people undertaking a journey for a particular purpose
n. a journey organized for a particular purpose"
expend,"v use up, consume fully
v pay out"
expenditure,"n money paid out; an amount spent
n the act of spending money for goods or services
n the act of consuming something"
experienced,a. having experience; having knowledge or skill from observation or participation
expert,n. a person with special knowledge or ability who performs skillfully
explanatory,s. serving or intended to explain or make clear
explode,"v. cause to burst with a violent release of energy
v. burst outward, usually with noise
v. show a violent emotional reaction
v. be unleashed; emerge with violence or noise"
exploration,"n. to travel for the purpose of discovery
n. a careful systematic search
n. a systematic consideration"
exploratory,a. serving in or intended for exploration or discovery
explosion,"n. a violent release of energy caused by a chemical or nuclear reaction
n. the act of exploding or bursting
n. a sudden great increase
n. the noise caused by an explosion"
export,"n. commodities (goods or services) sold to a foreign country
v. sell or transfer abroad
v. transfer (electronic data) out of a database or document in a format that can be used by other programs
v. cause to spread in another part of the world"
expression,"n. the feelings expressed on a person's face
n. expression without words
n. the communication (in speech or writing) of your beliefs or opinions
n. (genetics) the process of expressing a gene"
expressive,s. characterized by expression
expressway,n. a broad highway designed for high-speed traffic
extension,"n. a mutually agreed delay in the date set for the completion of a job or payment of a debt
n. act of expanding in scope; making more widely available
n. an educational opportunity provided by colleges and universities to people who are not enrolled as regular students
n. act of stretching or straightening out a flexed limb"
extinction,"n. no longer active; extinguished
n. no longer in existence
n. the reduction of the intensity of radiation as a consequence of absorption and radiation"
extraordinary,"a. beyond what is ordinary or usual; highly unusual or exceptional or remarkable
s. far more than usual or expected
s. (of an official) serving an unusual or special function in addition to those of the regular officials"
extravagance,"n. the quality of exceeding the appropriate limits of decorum or probability or truth
n. the trait of spending extravagantly
n. excessive spending"
extreme,"n. the furthest or highest degree of something
s. of the greatest possible degree or extent or intensity
s. far beyond a norm in quantity or amount or degree; to an utmost degree
s. beyond a norm in views or actions"
eyebrow,n. the arch of hair above each eye
eyelash,n. any of the short curved hairs that grow from the edges of the eyelids
eyelid,n. either of two folds of skin that can be moved to cover or open the eye
eyesore,n. something very ugly and offensive
eyewitness,"n. a spectator who can describe what happened
v. be present at an event and see it with one's own eyes"
fable,n. a short moral story (often with animal characters)
fabric,n. artifact made by weaving or felting or knitting or crocheting natural or synthetic fibers
facial,"n. cranial nerve that supplies facial muscles
n. care for the face that usually involves cleansing and massage and the application of cosmetic creams
a. of or concerning the face
a. of or pertaining to the outside surface of an object"
