foolishly,r. without good sense or judgment
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
account,"n. a formal contractual relationship established to provide for regular banking or brokerage or business services
n. importance or value
n. a statement of recent transactions and the resulting balance
n. the quality of taking advantage"
in the meantime,none
eliminate,"v. kill in large numbers
v. remove from a contest or race
v. remove (an unknown variable) from two or more equations"
base on,none
set up,n. the way something is organized or arranged
form,"n. the phonological or orthographic sound or appearance of a word that can be used to describe or identify something
n. a perceptual structure
n. the visual appearance of something or someone
n. a printed document with spaces in which to write"
receipt,"n. an acknowledgment (usually tangible) that payment has been made
v. mark or stamp as paid"
be unwilling to,none
cash,"n. money in the form of bills or coins
n. prompt payment for goods or services in currency or by check
n. United States country music singer and songwriter (1932-2003)
v. exchange for cash"
issuer,n. an institution that issues something (securities or publications or currency etc.)
interest,"n. a sense of concern with and curiosity about someone or something
n. the power of attracting or holding one's attention (because it is unusual or exciting etc.)
n. a fixed charge for borrowing money; usually a percentage of the amount borrowed
n. (law) a right or legal share of something; a financial involvement with something"
immediate,"s. of the present time and place
a. having no intervening medium
s. immediately before or after as in a chain of cause and effect
s. performed with little or no delay"
security,"n. the state of being free from danger or injury
n. defense against financial failure; financial independence
n. freedom from anxiety or fear
n. a formal declaration that documents a fact of relevance to finance and investment; the holder has a right to receive interest or dividends"
