triumph,n. the exultation of victory
friendly,"n. troops belonging to or allied with your own military forces
a. characteristic of or befitting a friend
s. inclined to help or support; not antagonistic or hostile
a. easy to understand or use"
frighten,"v. cause fear in
v. drive out by frightening"
fringe,"n. one of the light or dark bands produced by the interference and diffraction of light
n. a social group holding marginal or extreme views
n. an ornamental border consisting of short lengths of hanging threads or tassels
v. adorn with a fringe"
frontier,"n. a wilderness at the edge of a settled area of a country
n. an international boundary or the area (often fortified) immediately inside the boundary
n. an undeveloped field of study; a topic inviting research and development"
frost,"n. ice crystals forming a white deposit (especially on objects outside)
n. the formation of frost or ice on a surface
n. United States poet famous for his lyrical poems on country life in New England (1874-1963)
v. decorate with frosting"
full,"v. beat for the purpose of cleaning and thickening
v. make (a garment) fuller by pleating or gathering
a. containing as much or as many as is possible or normal
s. complete in extent or degree and in every particular"
fume,"v. be mad, angry, or furious
v. emit a cloud of fine particles"
fun,"n. activities that are enjoyable or amusing
n. verbal wit or mockery (often at another's expense but not to be taken seriously)
n. violent and excited activity"
function,"n. (mathematics) a mathematical relation such that each element of a given set (the domain of the function) is associated with an element of another set (the range of the function)
n. what something is used for
n. the actions and activities assigned to or required or expected of a person or group
n. a relation such that one thing is dependent on another"
fund,"n. a reserve of money set aside for some purpose
v. convert (short-term floating debt) into long-term debt that bears fixed interest and is represented by bonds
v. place or store up in a fund for accumulation
v. provide a fund for the redemption of principal or payment of interest"
funeral,n. a ceremony at which a dead person is buried or cremated
funny,s. experiencing odd bodily sensations
fur,"n. the dressed hairy coat of a mammal
n. dense coat of fine silky hairs on mammals (e.g., cat or seal or weasel)
n. a garment made of the dressed hairy coat of a mammal"
furnace,"n. an enclosed chamber in which heat is produced to heat buildings, destroy refuse, smelt or refine ores, etc."
furnish,v. provide or equip with furniture
furniture,n. furnishings that make a room or other area ready for occupancy
further,"s. more distant in especially degree
r. to or at a greater extent or degree or a more advanced stage (`further' is used more often than `farther' in this abstract sense)
r. in addition or furthermore; further, they should be here already"""
furthermore,"r. in addition; furthermore, their quality is improving""; moreover, mice nested there"""
fuse,"n. an electrical device that can interrupt the flow of electrical current when it is overloaded
n. any igniter that is used to initiate the burning of a propellant
v. become plastic or fluid or liquefied from heat
v. equip with a fuse; provide with a fuse"
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
fry,"n. English painter and art critic (1866-1934)
n. English dramatist noted for his comic verse dramas (born 1907)
v. be excessively hot
v. cook on a hot surface using fat"
