declare,"v. state emphatically and authoritatively
v. state firmly
v. declare to be
v. authorize payments of"
appoint,"v. create and charge with a task or function
v. assign a duty, responsibility or obligation to
v. furnish"
abstract,"v. consider a concept without thinking of a specific example; consider abstractly or theoretically
v. consider apart from a particular case or instance
v. give an abstract (of)
a. existing only in the mind; separated from embodiment"
prescribe,v issue commands or orders for
reside,v. make one's home in a particular place or community
induce,"v. cause to arise
v. cause to do; cause to act in a specified manner
v. cause to occur rapidly
v. reason or establish by induction"
acquire,"v. locate (a moving entity) by means of a tracking system such as radar
v. win something through one's efforts"
alienate,v. make withdrawn or isolated or emotionally dissociated
dissent,"n. (law) the difference of one judge's opinion from that of the majority
n. a difference of opinion
v. withhold assent"
prior,n. the head of a religious order; in an abbey the prior is next below the abbot
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
metaphor,n. a figure of speech in which an expression is used to refer to something that it does not literally denote in order to suggest a similarity
disclaim,"v. renounce a legal claim or title to
v. make a disclaimer about"
endeavour,"n a purposeful or industrious undertaking (especially one that requires effort or boldness)
n earnest and conscientious activity intended to do or accomplish something
v attempt by employing effort"
profit,"n. the advantageous quality of being beneficial
v. derive a benefit from
v. make a profit; gain money or materially"
accustom,v make psychologically or physically used (to something)
undergo,v. pass through
decree,"n. a legally binding command or decision entered on the court record (as if issued by a court or judge)
v. issue a decree"
reap,"v. gather, as of natural products
v. get or derive"
removal,"n. the act of removing
n. dismissal from office"
imitate,"v. reproduce someone's behavior or looks
v. appear like, as in behavior or appearance
v. make a reproduction or copy of"
survive,"v. continue to live through hardship or adversity
v. continue in existence after (an adversity, etc.)"
promotion,"n. a message issued in behalf of some product or cause or idea or person or institution
n. act of raising in rank or position
n. encouragement of the progress or growth or acceptance of something"
weaken,"v. lessen the strength of
v. become weaker"
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
redeem,"v. restore the honor or worth of
v. to turn in (vouchers or coupons) and receive something in exchange
v. pay off (loans or promissory notes)
v. convert into cash; of commercial papers"
inspect,v. look over carefully
wipe,v. rub with a circular motion
bind,"n. something that hinders as if with bonds
v. create social or emotional ties
v. make fast; tie or secure, with or as if with a rope
v. wrap around with something so as to cover or enclose"
monopolize,"v. have and control fully and exclusively
v. have or exploit a monopoly of"
bargain,"n. an agreement between parties (usually arrived at after discussion) fixing obligations of each
n. an advantageous purchase
v. come to terms; arrive at an agreement"
tend,"v. have a tendency or disposition to do or be something; be inclined
v. have care of or look after
v. manage or run"
bias,"n. a partiality that prevents objective consideration of an issue or situation
v. influence in an unfair way
v. cause to be biased
s. slanting diagonally across the grain of a fabric"
inner,"s. located inward
a. located or occurring within or closer to a center
s. innermost or essential
s. exclusive to a center; especially a center of influence"
humiliate,v. cause to feel shame; hurt the pride of
hollow,"n. a cavity or space in something
n. a small valley between mountains
v. remove the interior of
a. not solid; having a space or gap or cavity"
disorder,"n. a physical condition in which there is a disturbance of normal functioning
n. a disturbance of the peace or of public order
v. bring disorder to"
linger,"v. remain present although waning or gradually dying
v. take one's time; proceed slowly"
imminent,s close in time; about to occur
medium,"n. a means or instrumentality for storing or communicating information
n. the surrounding environment
n. an intervening substance through which signals can travel as a means for communication
n. a liquid with which pigment is mixed by a painter"
