abdicate,"v. give up, such as power, as of monarchs and emperors, or duties and obligations"
representative,"n. a person who represents others
s. serving to represent or typify
a. standing for something else
s. being or characteristic of government by representation in which citizens exercise power through elected officers and representatives"
reptile,"n. any cold-blooded vertebrate of the class Reptilia including tortoises, turtles, snakes, lizards, alligators, crocodiles, and extinct forms"
repudiate,"v. refuse to acknowledge, ratify, or recognize as valid
v. refuse to recognize or pay
v. reject as untrue, unfounded, or unjust"
rescind,v cancel officially
resemble,v. appear like; be similar or bear a likeness to
resent,v. feel bitter or indignant about
reserve,"n. something kept back or saved for future use or a special purpose
n. (medicine) potential capacity to respond in order to maintain vital functions
n. the trait of being uncommunicative; not volunteering anything more than necessary
v. hold back or set aside, especially for future use or contingency"
reservoir,"n. a large or extra supply of something
n. lake used to store water for community use
n. tank used for collecting and storing a liquid (as water or oil)
n. anything (a person or animal or plant or substance) in which an infectious agent normally lives and multiplies"
reside,v. make one's home in a particular place or community
residue,n. matter that remains after something has been removed
resign,v. accept as inevitable
resist,"v. stand up or offer resistance to somebody or something
v. withstand the force of something
v. resist immunologically the introduction of some foreign tissue or organ
v. refuse to comply"
resolve,"v. make clearly visible
v. find the solution"
resonance,"n. an excited state of a stable particle causing a sharp maximum in the probability of absorption of electromagnetic radiation
n. a vibration of large amplitude produced by a relatively small vibration near the same frequency of vibration as the natural frequency of the resonating system
n. the quality imparted to voiced speech sounds by the action of the resonating chambers of the throat and mouth and nasal cavities"
resort,n. a hotel located in a resort area
respective,s. considered individually
respire,"v. breathe easily again, as after exertion or anxiety
v. undergo the biomedical and metabolic processes of respiration by taking up oxygen and producing carbon monoxide"
resplendent,s having great beauty and splendor
responsible,"a. worthy of or requiring responsibility or trust; or held accountable
s. being the agent or cause"
responsive,"a. containing or using responses; alternating
a. readily reacting or replying to people or events or stimuli; showing emotion"
restitution,"n. the act of restoring something to its original state
n. getting something back again"
restore,"v. return to its original or usable and functioning condition
v. give or bring back
v. bring back into original existence, use, function, or position"
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
resume,"v. take up or begin anew
v. return to a previous location or condition
v. assume anew"
resurgence,n bringing again into activity and prominence
retail,"n. the selling of goods to consumers; usually in small quantities and not for resale
v. be sold at the retail level
v. sell on the retail market
r. at a retail price"
retain,"v. hold back within
v. allow to remain in a place or position or maintain a property or feature
v. secure and keep for possible future use or application
v. keep in one's mind"
