cent,n. a fractional monetary unit of several countries
implacable,a. incapable of being placated
confident,"a. having or marked by confidence or assurance
s. not liable to error in judgment or action"
confidential,"s. entrusted with private information and the confidence of another
s. (of information) given in confidence or in secret
s. denoting confidence or intimacy
s. the level of official classification for documents next above restricted and below secret; available only to persons authorized to see documents so classified"
diffident,"s. showing modest reserve
a. lacking self-confidence"
fiduciary,"n. a person who holds assets in trust for a beneficiary
a. relating to or of the nature of a legal trust (i.e. the holding of something in trust for another)"
confide,v. reveal in private; tell confidentially
confidant,n. someone to whom private matters are confided
infidel,n a person who does not acknowledge your god
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
agonize,"v. cause to agonize
v. suffer agony or anguish"
antagonize,"v. provoke the hostility of
v. act in opposition to"
antagonist,"n. a muscle that relaxes while another contracts
n. a drug that neutralizes or counteracts the effects of another drug"
diagnose,"v. determine or distinguish the nature of a problem or an illness through a diagnostic analysis
v. subject to a medical analysis"
diagnosis,n. identifying the nature or cause of some phenomenon
ignore,"v. refuse to acknowledge
v. fail to notice
v. be ignorant of or in the dark about"
prognosis,"n. a prediction about how something (as the weather) will develop
n. a prediction of the course of a disease"
prognostic,"n a sign of something about to happen
s of or relating to prediction; having value for making predictions"
agnostic,"n. someone who is doubtful or noncommittal about something
n. a person who claims that they cannot have true knowledge about the existence of God (but does not deny that God might exist)
a. of or pertaining to an agnostic or agnosticism"
parliament,n. a legislative assembly in certain countries
parlor,n. reception room in an inn or club where visitors can be received
parley,"n. a negotiation between enemies
v. discuss, as between enemies"
parlance,n. a manner of speaking that is natural to native speakers of a language
dominate,"v. be in control
v. have dominance or the power to defeat over
v. look down on"
dominant,"n. (music) the fifth note of the diatonic scale
a. exercising influence or control
a. (of genes) producing the same phenotype whether its allele is identical or dissimilar"
dominance,"n. the state that exists when one person or group has power over another
n. the organic phenomenon in which one of a pair of alleles present in a genotype is expressed in the phenotype and the other allele of the pair is not"
domineer,v rule or exercise power over (somebody) in a cruel and autocratic manner
dominion,"n. dominance or power through legal authority
n. one of the self-governing nations in the British Commonwealth"
domination,"n. social control by dominating
n. power to dominate or defeat"
democracy,"n. the political orientation of those who favor government by the people or by their elected representatives
n. a political system in which the supreme power lies in a body of citizens who can elect people to represent them"
epidemic,"n. a widespread outbreak of an infectious disease; many people are infected at the same time
a. (especially of medicine) of disease or anything resembling a disease; attacking or affecting many individuals in a community or a population simultaneously"
demography,n. the branch of sociology that studies the characteristics of human populations
endemic,"n. a disease that is constantly present to a greater or lesser degree in people of a certain class or in people living in a particular location
n. a plant that is native to a certain limited area
a. of or relating to a disease (or anything resembling a disease) constantly present to greater or lesser extent in a particular locality
a. native to or confined to a certain region"
