counteract,v. oppose and mitigate the effects of by contrary actions
aeration,"n. the process of exposing to air (so as to purify)
n. the act of charging a liquid with a gas making it effervescent"
affirmation,"n. the act of affirming or asserting or stating something
n. (religion) a solemn declaration that serves the same purpose as an oath (if an oath is objectionable to the person on religious or ethical grounds)
n. a judgment by a higher court that the judgment of a lower court was correct and should stand"
aggravation,"n. an exasperated feeling of annoyance
n. unfriendly behavior that causes anger or resentment
n. action that makes a problem or a disease (or its symptoms) worse"
alienation,"n. the feeling of being alienated from other people
n. separation resulting from hostility
n. (law) the voluntary and absolute transfer of title and possession of real property from one person to another"
audition,"n. a test of the suitability of a performer
v. perform in order to get a role"
consolation,"n. the comfort you feel when consoled in times of disappointment
n. the act of consoling; giving relief in affliction"
contamination,"n. the state of being contaminated
n. the act of contaminating or polluting; including (either intentionally or accidentally) unwanted substances or factors"
conversation,n. the use of speech for informal exchange of views or ideas or information etc.
cultivation,"n. socialization through training and education to develop one's mind or manners
n. (agriculture) production of food by preparing the land to grow crops (especially on a large scale)
n. the process of fostering the growth of something"
demolition,n. the act of demolishing
denomination,"n. a group of religious congregations having its own organization and a distinctive faith
n. a class of one kind of unit in a system of numbers or measures or weights or money"
dictation,"n. speech intended for reproduction in writing
n. matter that has been dictated and transcribed; a dictated passage"
dissemination,"n. the opening of a subject to widespread discussion and debate
n. the property of being diffused or dispersed"
documentation,"n. confirmation that some fact or statement is true through the use of documentary evidence
n. documentary validation"
domination,"n. social control by dominating
n. power to dominate or defeat"
donation,"n a voluntary gift (as of money or service or ideas) made to some worthwhile cause
n act of giving in common with others for a common purpose especially to a charity"
elaboration,n. developing in intricate and painstaking detail
elicitation,n stimulation that calls up (draws forth) a particular class of behaviors
exploitation,"n. the act of making some area of land or water more profitable or productive or useful
n. an act that exploits or victimizes someone (treats them unfairly)"
federation,"n. an organization formed by merging several groups or parties
n. the act of constituting a political unity out of a number of separate states or colonies or provinces so that each member retains the management of its internal affairs"
