enable,v. render capable or able for some task
spiritual,"n. a kind of religious song originated by Blacks in the southern United States
s. concerned with or affecting the spirit or soul
s. lacking material body or form or substance"
nerve,n. any bundle of nerve fibers running to various organs and tissues of the body
appetite,n. a feeling of craving something
terror,"n. a person who inspires fear or dread
n. a very troublesome child
n. the use of extreme fear in order to coerce people (especially for political reasons)"
horror,"n. intense and profound fear
n. something that inspires dislike; something horrible"
horrible,s provoking horror
fearful,"s. experiencing or showing fear
s. extremely distressing
s. timid by nature or revealing timidity"
awful,s. causing fear or dread or terror
agony,"n. intense feelings of suffering; acute mental or physical pain
n. a state of acute pain"
fuss,"n. an angry disturbance
v. worry unnecessarily or excessively"
make a fuss of,none
make a fuss over,none
anxiety,"n. (psychiatry) a relatively permanent state of worry and nervousness occurring in a variety of mental disorders, usually accompanied by compulsive behavior or attacks of panic
n. a vague unpleasant emotion that is experienced in anticipation of some (usually ill-defined) misfortune"
worried,"v be worried, concerned, anxious, troubled, or uneasy
v be concerned with
v disturb the peace of mind of; afflict with mental agitation or distress
v be on the mind of
v lacerate by biting
v touch or rub constantly
s afflicted with or marked by anxious uneasiness or trouble or grief
s mentally upset over possible misfortune or danger etc"
ego,"n. an inflated feeling of pride in your superiority to others
n. (psychoanalysis) the conscious mind"
dread,"n fearful expectation or anticipation
v be afraid or scared of; be frightened of
s causing fear or dread or terror"
panic,"n. an overwhelming feeling of fear and anxiety
n. sudden mass fear and anxiety over anticipated events
v. be overcome by a sudden fear
v. cause sudden fear in or fill with sudden panic"
scare,n. a sudden attack of fear
impatient,"a. restless or short-tempered under delay or opposition
s. (usually followed by `to') full of eagerness"
patience,n. good-natured tolerance of delay or incompetence
heroic,"a. relating to or characteristic of heroes of antiquity
s. having or displaying qualities appropriate for heroes"
modest,"a. marked by simplicity; having a humble opinion of yourself
s. not large but sufficient in size or amount
s. free from pomp or affectation
a. not offensive to sexual mores in conduct or appearance"
agreeable,"a. conforming to your own liking or feelings or nature
s. prepared to agree or consent"
cheerful,"a. being full of or promoting cheer; having or showing good spirits
s. pleasantly (even unrealistically) optimistic"
