textbook,n. a book prepared for use in schools or colleges
parallel,"n. (mathematics) one of a set of parallel geometric figures (parallel lines or planes)
v. be parallel to
v. make or place parallel to something
a. being everywhere equidistant and not intersecting"
peak,n. the top or extreme point of something (usually a mountain or hill)
peculiar,"s. markedly different from the usual
s. characteristic of one only; distinctive or special"
penetrate,"v. pass into or through, often by overcoming resistance
v. come to understand
v. make one's way deeper into or through
v. insert the penis into the vagina or anus of"
perceive,"v. to become aware of through the senses
v. become conscious of"
periodically,r in a sporadic manner
periodic,"a. happening or recurring at regular intervals
s. recurring or reappearing from time to time"
perspective,n. the appearance of things relative to one another as determined by their distance from the viewer
pertinent,s. having precise or logical relevance to the matter at hand
pervasive,s spreading or spread throughout
plague,"n. a serious (sometimes fatal) infection of rodents caused by Yersinia pestis and accidentally transmitted to humans by the bite of a flea that has bitten an infected animal
n. any epidemic disease with a high death rate
n. any large scale calamity (especially when thought to be sent by God)
n. an annoyance"
plausible,"a. apparently reasonable and valid, and truthful
s. given to or characterized by presenting specious arguments"
plentiful,s. existing in great number or quantity
pinpoint,"n. a very brief moment
n. the sharp point of a pin
v. locate exactly"
portable,"n. a small light typewriter; usually with a case in which it can be carried
a. easily or conveniently transported
s. of a motor designed to be attached to the outside of a boat's hull"
portray,"v. portray in words
v. make a portrait of
v. represent abstractly, for example in a painting, drawing, or sculpture"
pragmatic,a. of or concerning the theory of pragmatism
precede,"v. come before
v. be the predecessor of
v. move ahead (of others) in time or space
v. furnish with a preface or introduction"
precious,"s. of high worth or cost
r. extremely"
precipitate,"n. a precipitated solid substance in suspension or after settling or filtering
v. bring about abruptly
v. separate as a fine suspension of solid particles
v. fall from clouds"
prerequisite,"n. something that is required in advance
s. required as a prior condition or course of study"
prime,"n. a number that has no factor but itself and 1
n. the second canonical hour; about 6 a.m.
n. the time of maturity when power and vigor are greatest
v. insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
prohibit,v command against
prolong,"v. lengthen in time; cause to be or last longer
v. lengthen or extend in duration or space"
progressively,r advancing in amount or intensity
prone,"s. having a tendency (to); often used in combination
s. lying face downward"
properly,r. in the right manner
proponent,n a person who pleads for a cause or propounds an idea
prosperous,"s in fortunate circumstances financially; moderately rich
s very lively and profitable
s marked by peace and prosperity
s presaging or likely to bring good luck"
pursue,"v. follow in or as if in pursuit
v. carry further or advance"
quantifiable,s. capable of being quantified
quest,"n. the act of searching for something
v. make a search (for)
v. search the trail of (game)
v. seek alms, as for religious purposes"
radically,r. in a radical manner
random,a. lacking any definite plan or order or purpose; governed by or depending on chance
ratio,n. the relative magnitudes of two quantities (usually expressed as a quotient)
reasonable,"a. showing reason or sound judgment
s. marked by sound judgment"
rebound,"n. a reaction to a crisis or setback or frustration
n. the act of securing possession of the rebounding basketball after a missed shot"
