species,"n. (biology) taxonomic group whose members can interbreed
n. a specific kind of something"
peripheral,"n. (computer science) electronic equipment connected by cable to the CPU of a computer
a. on or near an edge or constituting an outer boundary; the outer area
s. related to the key issue but not of central importance"
persistent,"s. never-ceasing
a. retained; not shed"
planetarium,"n. a building housing an instrument for projecting the positions of the planets onto a domed ceiling
n. an optical device for projecting images of celestial bodies and other astronomical phenomena onto the inner surface of a hemispherical dome
n. an apparatus or model for representing the solar systems"
plume,"n. anything that resembles a feather in shape or lightness
n. a feather or cluster of feathers worn as an ornament
v. deck with a plume
v. form a plume"
potter,"n. a craftsman who shapes pottery on a potter's wheel and bakes them it a kiln
v. work lightly"
pride,"n. a feeling of self-respect and personal worth
n. satisfaction with your (or another's) achievements
n. the trait of being spurred on by a dislike of falling below your standards
n. a group of lions"
proton,n. a stable particle with positive charge equal to the negative charge of an electron
punishment,n. the act of punishing
putrefy,v. become putrid; decay with an offensive smell
quote,"v. repeat a passage from
v. name the price of
v. refer to for illustration or proof
v. put quote marks around"
radioactivity,n the spontaneous emission of a stream of particles or electromagnetic rays in nuclear decay
realm,"n a domain in which something is dominant
n the domain ruled by a king or queen
n a knowledge domain that you are interested in or are communicating about"
rebellion,"n. refusal to accept some authority or code or convention
n. organized opposition to authority; a conflict in which one faction tries to wrest control from another"
reed,"n. tall woody perennial grasses with hollow slender stems especially of the genera Arundo and Phragmites
n. United States journalist who reported on the October Revolution from Petrograd in 1917; founded the Communist Labor Party in America in 1919; is buried in the Kremlin in Moscow (1887-1920)
n. United States physician who proved that yellow fever is transmitted by mosquitoes (1851-1902)
n. a vibrator consisting of a thin strip of stiff material that vibrates to produce a tone when air streams over it"
refractory,"s. not responding to treatment
s. temporarily unresponsive or not fully responsive to nervous or sexual stimuli"
regiment,"n. army unit smaller than a division
v. subject to rigid discipline, order, and systematization
v. form (military personnel) into a regiment
v. assign to a regiment"
reign,"n. a period during which something or somebody is dominant or powerful
n. the period during which a monarch is sovereign
n. royal authority; the dominion of a monarch
v. have sovereign power"
reindeer,n Arctic deer with large antlers in both sexes; called `reindeer' in Eurasia and `caribou' in North America
renewable,"a. that can be renewed or extended
s. capable of being renewed; replaceable"
replenish,v. fill something that had previously been emptied
respiratory,a. pertaining to respiration
restoration,"n. the reign of Charles II in England; 1660-1685
n. the act of restoring something or someone to a satisfactory state
n. some artifact that has been restored or reconstructed
n. a model that represents the landscape of a former geological age or that represents and extinct animal etc."
revolve,v. turn on or around an axis or a center
richness,"n. the quality of having high intrinsic value
n. the property of producing abundantly and sustaining vigorous and luxuriant growth
n. a strong deep vividness of hue"
rodent,n. relatively small placental mammals having a single pair of constantly growing incisor teeth specialized for gnawing
royal,"n. a sail set next above the topgallant on a royal mast
n. stag with antlers of 12 or more branches
a. of or relating to or indicative of or issued or performed by a king or queen or other monarch
a. established or chartered or authorized by royalty"
satire,n witty language used to convey insults or scorn
sector,"n. a plane figure bounded by two radii and the included arc of a circle
n. a social group that forms part of the society or the economy
n. a particular aspect of life or activity
n. the minimum track length that can be assigned to store information; unless otherwise specified a sector of data consists of 512 bytes"
