abolish,v. do away with
swamp,"n. low land that is seasonally flooded; has more woody plants than a marsh and better drainage than a bog
n. a situation fraught with difficulties and imponderables
v. drench or submerge or be drenched or submerged"
swap,"v. move (a piece of a program) into memory, in computer science"
tack,"n. the heading or position of a vessel relative to the trim of its sails
n. a short nail with a sharp point and a large head
n. (nautical) the act of changing tack
n. sailing a zigzag course"
tackle,"n. the person who plays that position on a football team
n. (American football) a position on the line of scrimmage
n. (American football) grasping an opposing player with the intention of stopping by throwing to the ground
v. seize and throw down an opponent player, who usually carries the ball"
tan,"n. a browning of the skin resulting from exposure to the rays of the sun
n. a light brown the color of topaz
v. treat skins and hides with tannic acid so as to convert them into leather
v. get a tan, from wind or sun"
tangle,"n. a twisted and tangled mass that is highly interwoven
n. something jumbled or confused"
tariff,v. charge a tariff
tease,"n. someone given to teasing (as by mocking or stirring curiosity)
n. the act of harassing someone playfully or maliciously (especially by ridicule); provoking someone with persistent annoyances
v. annoy persistently
v. harass with persistent criticism or carping"
teaser,"n. a worker who teases wool
n. an advertisement that offers something free in order to arouse customers' interest
n. an attention-getting opening presented at the start of a television show"
tempt,"v. dispose or incline or entice to
v. give rise to a desire by being attractive or inviting
v. try to seduce
v. try presumptuously"
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
tenant,"n. someone who pays rent to use land or a building or a car that is owned by someone else
n. a holder of buildings or lands by any kind of title (as ownership or lease)
n. any occupant who dwells in a place
v. occupy as a tenant"
tenancy,n an act of being a tenant or occupant
Thanksgiving,n. fourth Thursday in November in the United States; second Monday in October in Canada; commemorates a feast held in 1621 by the Pilgrims and the Wampanoag
theft,n the act of taking something from someone unlawfully
theme,"n. a unifying idea that is a recurrent element in literary or artistic work
n. (music) melodic subject of a musical composition
v. provide with a particular theme or motive"
thereafter,r. from that time on
thigh,n. the part of the leg between the hip and the knee
thorn,n. a Germanic character of runic origin
thorny,s. bristling with perplexities
thrash,"n. a swimming kick used while treading water
v. give a thrashing to; beat hard
v. beat so fast that (the heart's) output starts dropping until (it) does not manage to pump out blood at all
v. move data into and out of core rather than performing useful computation"
threshold,"n. the starting point for a new state or experience
n. the smallest detectable sensation"
thrifty,a. careful and diligent in the use of resources
thrill,"n. something that causes you to experience a sudden intense feeling or sensation
v. cause to be thrilled by some perceptual input
v. feel sudden intense sensation or emotion"
throne,"n. the chair of state for a monarch, bishop, etc.
n. the position and power of an exalted person (a sovereign or bishop) who is entitled to sit in a chair of state on ceremonial occasions
v. sit on the throne as a ruler"
tickle,"n. a cutaneous sensation often resulting from light stroking
n. the act of tickling
v. touch (a body part) lightly so as to excite the surface nerves and cause uneasiness, laughter, or spasmodic movements
v. touch or stroke lightly"
tile,"n. a flat thin rectangular slab (as of fired clay or rubber or linoleum) used to cover surfaces
n. a thin flat slab of fired clay used for roofing
n. game equipment consisting of a flat thin piece marked with characters and used in board games like Mah-Jong, Scrabble, etc.
v. cover with tiles"
tilt,"n. a slight but noticeable partiality
n. the property possessed by a line or surface that departs from the vertical
v. charge with a tilt"
timely,"s. before a time limit expires
s. done or happening at the appropriate or proper time"
timeliness,"n being at the right time
n timely convenience"
tiresome,s so lacking in interest as to cause mental weariness
token,"n. an individual instance of a type of symbol
n. something serving as a sign of something else
n. a metal or plastic disk that can be redeemed or used in designated slot machines"
toss,"n. an abrupt movement
v. agitate"
tow,"n. the act of hauling something (as a vehicle) by means of a hitch or rope
v. drag behind"
towage,n the act of hauling something (as a vehicle) by means of a hitch or rope
tract,"n. an extended area of land
n. a system of body parts that together serve some particular purpose
n. a brief treatise on a subject of interest; published in the form of a booklet"
trademark,"n. a formally registered symbol identifying the manufacturer or distributor of a product
v. register the trademark of"
