criticize,v. act as a critic
mission,"n. an organization of missionaries in a foreign land sent to carry on religious work
n. an operation that is assigned by a higher headquarters
n. a special assignment that is given to a person or group
n. the organized work of a religious missionary"
maintenance,"n. means of maintenance of a family or group
n. the unauthorized interference in a legal action by a person having no interest in it (as by helping one party with money or otherwise to continue the action) so as to obstruct justice or promote unnecessary litigation or unsettle the peace of the community"
bypass,"n. a surgically created shunt (usually around a damaged part)
v. avoid something unpleasant or laborious"
cognitive,a. of or being or relating to or involving cognition
impairment,n. damage that results in a reduction of strength or quality
dementia,n. mental deterioration of organic or functional origin
stage,"n. a large platform on which people can stand and can be seen by an audience
n. the theater as a profession (usually `the stage')
n. a section or portion of a journey or course
n. any scene regarded as a setting for exhibiting or doing something"
revival,"n. bringing again into activity and prominence
n. an evangelistic meeting intended to reawaken interest in religion"
incorporate,"v. include or contain; have as a component
v. form a corporation
v. unite or merge with something already in existence
s. formed or united into a whole"
restrain,"v. keep under control; keep in check
v. to close within bounds, limit or hold back from movement
v. hold back"
intrigue,"n. a crafty and involved plot to achieve your (usually sinister) ends
n. a clandestine love affair
v. cause to be interested or curious"
seek,"n. the movement of a read/write head to a specific data track on a disk
v. try to get or reach
v. go to or towards
v. inquire for"
outpost,n. a military post stationed at a distance from the main body of troops
navigation,"n. the guidance of ships or airplanes from place to place
n. ship traffic"
dime,n. a United States coin worth one tenth of a dollar
featureless,s. lacking distinguishing characteristics or features
inhabitant,n. a person who inhabits a particular place
guidance,"n. something that provides direction or advice as to a decision or course of action
n. the act of guiding or showing the way"
misleading,"v lead someone in the wrong direction or give someone wrong directions
v give false or misleading information to
s designed to deceive or mislead either deliberately or inadvertently"
impression,"n. a vague idea in which some confidence is placed
n. an outward appearance
n. all the copies of a work printed at one time
n. (dentistry) an imprint of the teeth and gums in wax or plaster"
exaggerate,"v to enlarge beyond bounds or the truth
v do something to an excessive degree"
beneficial,s. promoting or enhancing well-being
coordinate,"n. a number that identifies a position relative to an axis
v. bring into common action, movement, or condition
v. be co-ordinated
s. of equal importance, rank, or degree"
physiological,a. of or relating to the biological study of physiology
sensor,n any device that receives a signal or stimulus (as heat or pressure or light or motion etc.) and responds to it in a distinctive manner
temptation,"n. something that seduces or has the quality to seduce
n. the desire to have or do something that you know you should avoid"
principal,"n. the original amount of a debt on which interest is calculated
n. the educator who has executive authority for a school
n. capital as contrasted with the income derived from it
n. (criminal law) any person involved in a criminal offense, regardless of whether the person profits from such involvement"
