accomplishment,n. the action of accomplishing something
personality,"n. the complex of all the attributes--behavioral, temperamental, emotional and mental--that characterize a unique individual
n. a person of considerable prominence"
proper,"a. marked by suitability or rightness or appropriateness
s. having all the qualities typical of the thing specified; not just a snack""
s. limited to the thing specified
s. appropriate for a condition or purpose or occasion or a person's character, needs"
quarry,v. extract (something such as stones) from or as if from a quarry
rage,"n. a state of extreme anger
n. something that is desired intensely
n. violent state of the elements
v. be violent; as of fires and storms"
reputation,"n. notoriety for some particular characteristic
n. the general estimation that the public has for a person"
resemble,v. appear like; be similar or bear a likeness to
roam,"v move about aimlessly or without any destination, often in search of food or employment"
scarcely,"r only a very short time before
r almost not"
scruffy,s. shabby and untidy
severe,"s. intensely or extremely bad or unpleasant in degree or quality
s. unsparing and uncompromising in discipline or judgment
s. very bad in degree or extent"
shape,"n. any spatial attributes (especially as defined by outline)
n. the spatial arrangement of something as distinct from its substance
n. a concrete representation of an otherwise nebulous concept
v. make something, usually for a specific function"
shovel,"n. a hand tool for lifting loose material; consists of a curved container or scoop and a handle
n. the quantity a shovel can hold
n. a fire iron consisting of a small shovel used to scoop coals or ashes in a fireplace
v. dig with or as if with a shovel"
shroud,"n. a line that suspends the harness from the canopy of a parachute
v. cover as if with a shroud
v. form a cover like a shroud
v. wrap in a shroud"
signal,"n. any nonverbal action or gesture that encodes a message
n. any incitement to action
n. an electric quantity (voltage or current or field strength) whose modulation represents coded information about the source from which it comes
s. notably out of the ordinary"
silica,n. a white or colorless vitreous insoluble solid (SiO2); various forms occur widely in the earth's crust as quartz or cristobalite or tridymite or lechatelierite
slender,"s. being of delicate or slender build
s. very narrow
s. having little width in proportion to the length or height
s. small in quantity"
specify,"v. decide upon or fix definitely
v. determine the essential quality of
v. be specific about"
spontaneity,n. the quality of being spontaneous and coming from natural feelings without constraint
stain,"n. a soiled or discolored appearance
n. (microscopy) a dye or other coloring material that is used in microscopy to make structures visible
v. color with a liquid dye or tint
v. produce or leave stains"
stout,"n. a strong very dark heavy-bodied ale made from pale malt and roasted unmalted barley and (often) caramel malt with hops
n. a garment size for a large or heavy person"
stylized,"v represent according to a conventional style
s using artistic forms and conventions to create effects; not natural or spontaneous"
sunlit,s. lighted by sunlight
surgeon,n. a physician who specializes in surgery
susceptible,"a. (often followed by `of' or `to') yielding readily to or capable of
s. easily impressed emotionally"
transform,"v. subject to a mathematical transformation
v. change or alter in form, appearance, or nature
v. change in outward structure or looks
v. convert (one form of energy) to another"
utensil,n. an implement for practical use (especially in a household)
wear,"n. impairment resulting from long use
n. the act of having on your person as a covering or adornment
v. be dressed in
v. have on one's person"
willow,"n. any of numerous deciduous trees and shrubs of the genus Salix
n. a textile machine having a system of revolving spikes for opening and cleaning raw textile fibers"
adaptive,a. having a capacity for adaptation
allegation,"n. (law) a formal accusation against somebody (often in a court of law)
n. statements affirming or denying certain matters of fact that you are prepared to prove"
