Abacavir,"n. 【药】阿巴卡韦
[网络] 阿巴卡伟；阿巴卡韦及片；阿卡维尔"
indigestion,"n. 消化不良
[医] 消化不良, 不消化"
indirect,"a. 间接的, 非直截了当的, 不坦率的
[医] 间接的"
indiscretion,n. 轻率；言行失检
indiscriminate,"a. 无差别的, 任意的, 杂乱的
[医] 无差别的, 普遍的"
indispensable,"n. 不可缺少之物
a. 不可缺少的, 责无旁贷的, 绝对必要的"
indistinguishable,"a. 不能辨别的, 不能区别的"
individual,"n. 人, 个人, 个体
a. 个别的, 个人的, 独特的"
individuality,"n. 个性, 个人, 特征"
individualization," 个体化, 个性化"
individualize,"vt. 使个体化, 使有个人特色, 使具有个性, 使适应个别需要"
indolent,"a. 懒惰的, 无痛的
[医] 无痛的"
indomethacin,"吲哚美辛,消炎痛,茚甲新"
indoor,[网络] 室内；门内做法
induce,"vt. 引诱, 招致, 归纳出, 感应
[医] 诱导, 感应"
inducement,"n. 诱因, 动机, 吸引力, 刺激物
[法] 诱惑, 引诱, 诱因"
inducer,"n. 引诱者, 诱导物
[化] 导流片; 导流轮"
inducible,a. 可导致的；可诱导的
induction,"n. 归纳法, 感应, 就职, 入门
[计] 归纳法"
induration,n. 硬化；[医] 硬结；顽固；无情
industrial,"a. 工业的, 供工业用的, 工业高度发展的, 产业的
n. 工业工人, 工业股票"
industry,"n. 勤劳, 工业, 企业, 产业, 有组织的劳动
[经] 工业, 实业"
indwelling,[网络] 内住；内居
ineffective,adj. 无效的，失效的；不起作用的
inefficacy,"n. 无效果, 无疗效
[医] 无效, 无效力"
inefficiency,"n. 无效率, 无能
[化] 效率低; 效率差"
inert,"a. 惰性的, 迟钝的, 无活力的, 呆滞的
[医] 惰性的, 无作用的, 无效的"
inevitable,"a. 不可避免的, 必然的
[法] 不可避免的, 无法规避的, 必然的"
inevitably,adv. 不可避免地
inexhaustible,"a. 用不完的, 无穷尽的, 不知疲倦的"
inexpensive,"a. 便宜的, 不贵重的"
infancy,"n. 幼年, 初期, 幼儿期
[医] 婴儿期(一足岁以内)"
infantile,"a. 婴儿的, 幼稚的, 初期的
[医] 婴儿的, 幼稚的"
infantilism,"n. 幼稚型, 幼稚症
[医] 幼稚型, 婴儿型"
infarct,"n. 梗塞
[医] 梗塞, 梗死"
infarction,"n. 血块的构成
[医] 梗塞形成, 梗死形成, 梗塞, 梗死"
infect,"vt. 传染, 感染
[医] 传染, 感染"
infection,"n. 传染, 影响, 传染病
[医] 传染, 感染"
infectious,"a. 有传染性的, 易传染的
[医] 传染性的"
infective,"a. 有传染性的, 易传染的
[医] 传染性的, 感染性的"
infectivity,"n. 传染性, 易传染
[医] 传染性, 传染力"
infectomics,无
infer,"vt. 推断；推论
vi. 推断；作出推论"
inference,"n. 推论
[法] 推论, 推理, 推断"
inferior,"a. 次等的, 较差的, 下方的, 下级的
n. 部下, 次品, 下标(符号)"
infertility,"n. 不肥沃, 不毛
[医] 不育症, 不孕症"
infestation,"n. 骚扰, 大批出没, 横行
[医] 侵染, 感染"
infiltrate,"vt. 使浸润, 使潜入, 使渗入
vi. 渗入
n. 渗透物"
infiltration,"n. 渗入, 渗透, 渗透物
[化] 渗滤; 渗入过滤; 渗透; 渗入"
infiltrative,"a. 渗透性的, 造成渗透的"
infirm,"a. 弱的, 虚弱的, 柔弱的
[医] 衰弱的"
inflame,"vt. 激怒, 点火, 激起
vi. 着火, 激动, 发炎"
inflammation,"n. 怒火, 发火, 燃烧, 发炎
[医] 炎[症]"
inflammatory,"a. 激动的, 煽动的, 炎症性的
[医] 炎的, 炎性的"
inflatable,"a. 膨胀的, 得意的, 通货膨胀的"
inflate,"vt. 使膨胀, 使得意, 使通货膨胀, 使充气
vi. 充气, 膨胀"
inflation,"n. 胀大, 夸张, 通货膨胀
[化] 充气吹胀; 膨胀"
influence,"n. 影响力, 权力, 势力
vt. 影响, 改变"
influenza,"n. 流行性感冒
[医] 流行性感冒, 流感"
influx, 冻结磁通
informality,n. 非正式
information,[网络] 形成中；永远都在队伍中；信息
information superhighway,信息高速公路.
informative,"a. 提供消息的, 见闻广博的"
infraclavicular,[医] 锁骨下的
infrared,红外
infrastructure,[网络] 基础结构；基础建设；水电路等基础设施
infrequent,"a. 稀少的, 珍贵的, 罕见的"
infrequently,"adv. 很少发生, 不常发生, 罕见, 稀罕, 偶有, 不寻常"
infusion,"n. 注入, 泡制, 注入物
[化] 浸渍; 浸泡"
ingest,vt. 摄取；咽下；吸收；接待
ingestion,"n. 摄取
[医] 食入, 摄食"
ingredient,"n. 成分, 因素
[化] 配合剂; 拼料; 成分; 组分"
inguinal,"a. 腹股沟的
[医] 腹股沟的"
inhabit,"vt. 居住于, 占据, 栖息"
inhabitant,"n. 居民, 居住者
[医] 居民"
inhalant,"n. 吸入剂, 吸入器
a. 吸入用的"
inhalation,"n. 吸入
[医] 吸入剂, 吸入[法]"
inhale,"vt. 吸入
vi. 吸气"
inhaler,"n. 吸入者, 吸入器, 空气过滤器
[医] 吸入器"
inherent,"a. 固有的, 与生俱来的
[医] 固有的, 生来的"
inherently,"adv. 内在地, 生来地, 固有地
[计] 固有的"
inherit,"vt. 继承, 遗传
vi. 接受遗产"
inheritable,"a. 可继承的, 有继承权的, 可遗传的
[法] 可继承的, 有继承权的, 可遗传的"
inheritance,"n. 遗传, 遗产
[医] 遗传"
inhibit,"vt. 禁止, 抑制
vi. 起抑制作用"
inhibition,"n. 禁止, 抑制, 压抑
[计] 禁止"
inhibitor,"n. 禁止者, 抑制人, 抑制物, 抑制因素, 抑制剂, 阻化剂
[计] 禁止器, 抑制剂"
inhibitory,"a. 禁止的, 抑制的
[医] 抑制的"
inimicable,"a. 有害的, 不利的"
initial,"n. 字首, 首字母
a. 开始的, 最初的, 字首的
vt. 用姓名的首字母签名"
initially,"adv. 最初, 开头"
initiate,"n. 入会, 开始
a. 新加入的
vt. 开始, 传授基本知识给"
initiation,"n. 开始, 指引, 入会
[化] 引发"
initiative,"n. 主动行动, 首创精神, 主动权
a. 自发的, 起始的"
initiator,"n. 创始者, 首倡者, 引爆药
[化] 引发剂; 引药; 引爆药; 起爆药; 起始剂"
inject,"vt. 注射, 注入, 使入轨
[医] 注射"
injection,"n. 注射, 注射剂
[化] 注入; 注射"
injudicious,"a. 欠思考的, 不聪明的
[法] 判决不当的"
injudiciously,adv. injudicious的变形
injure,"[法] 在法律上, 依照法律"
injurious,"a. 有害的, 不公正的
[法] 伤害的, 有害的, 不公平的"
injury,"n. 伤害, 侮辱
[医] 伤, 损伤"
innate,"a. 先天的, 天生的
[医] 先天的, 生来的"
innervate,"vt. 使受神经支配, 使神经分布于"
innervation,"n. 神经分布, 神经支配, 运动感觉
[医] 神经支配, 神经分布"
innocent,"a. 无罪的, 不懂事的, 无知的
n. 天真的人, 笨蛋"
innocuous,"a. 无害的, 无伤大雅的
[医] 无害的, 良性的"
innovation,"n. 改革, 创新
[法] 创新, 改革, 刷新"
innovative,"a. 革新的, 创新的, 富有革新精神的"
inoculate,"vt. 接种, 嫁接
[医] 接种"
inoculation,"n. 灌输, 接种
[化] 接种"
inoperable,"a. 不能动手术的
[医] 不能手术的, 不宜手术的"
inorganic,"a. 无机的, 无生物的, 非自然形成的
[医] 无机的"
inotropic,"a. [医]影响肌肉收缩力的,变力的"
inpatient, [医]住院病人
inquest,寻找；设法找到；为了寻求…
inquire,未装订
inquiry,"n. 质询, 探索, 调查, 询盘
[计] 询问; 查询"
insanity,"n. 疯狂, 愚顽, 精神错乱
[医] 精神病"
insect,"n. 昆虫, 卑鄙的人
[医] 昆虫"
insecticide,"n. 杀虫剂
[化] 杀虫剂"
insemination,"n. 播种, 受胎, 授精
[医] 授精"
insensible,"a. 不知的, 昏迷的, 无知觉的, 冷淡的
[医] 无感觉的, 麻木的, 人事不省的"
insensitive,"a. 对...没有感觉的, 感觉迟钝的
[医] 感觉迟钝的"
insensitivity,n. 感觉迟钝；不灵敏性；昏迷
insert,"n. 插入物
vt. 插入, 把(人造卫星)射入(轨道), 添写
vi. 附着
[计] 插入"
insertion,"n. 插入, 刊载, 插入物
[计] 插入"
insidious,"a. 隐伏的, 阴险的, 狡猾的
[医] 隐袭的"
insidiously,"adv. 阴险, 狡诈, (疾病)不知不觉之间加剧, 伺机陷害, 毒而诱人, 隐袭, 隐匿"
insight,被看到
insignificant,"a. 无关紧要的, 无意义的, 琐碎的"
insist,"v. 坚持, 坚决主张, 强调"
in situ,"在原来位置
[医] 原位"
insoluble,"a. 不能溶解的, 不能解决的
[医] 不溶解的"
insomnia,"n. 失眠症
[医] 失眠[症]"
inspect,"vt. 检查, 检阅, 检验
vi. 检查"
inspection,"n. 检验, 检查, 视察
[医] 检查, 视察, 监督, 望诊"
inspiration,"n. 灵感, 鼓舞人心的人或物, 妙计, 吸气
[医] 吸[气]"
inspire,"vt. 使感动, 激发, 启示, 吸入, 鼓舞, 产生, 使生灵感
vi. 吸入, 赋予灵感"
inspissate,"vt. 使浓缩, 使变浓
a. 浓厚的, 强烈的"
instability,"n. 不安定, 不稳定
[医] 不稳定性"
install,vt. 安装；设置；正式任命；使就职；任用；安顿；安置
installation,"n. 安装, 装置, 就职
[医] 结构, 装置, 设立"
instance,"n. 建议, 情况, 例子, 场合
vt. 引以为例, 举例说明"
instant,"n. 立即, 瞬间
a. 紧急的, 立即的, 即时的"
instantly,"adv. 立即地, 即刻地"
instill,vt. 徐徐滴入；滴入(常与into连用):；逐渐灌输(常与in，into连用)
instinct,"n. 本能, 直觉
a. 充满着的"
institute,"vt. 开始（调查）；制定；创立；提起（诉讼）
n. 学会，协会；学院"
institution,[网络] 刚刚开始研究中国制度；新制度经济学把制度
institutional,"a. 制度的, 公共机构的, 学会的
[法] 组织机构的, 制度的, 公共机构的"
instruction,"n. 指令, 教导, 命令
[计] 指令"
instructive,"a. 有益的, 增进知识的"
instrument,"n. 工具, 手段, 仪器
[化] 仪器"
instrumentation,"n. 乐器法, 仪器制造学, 仪表化
[医] 器械用法, 器械操作法"
insufficiency,"n. 不充分, 不足, 不适当
[医] 机能不全, 闭锁不全, 关闭不全"
insufficient,"a. 不够的, 不能胜任的, 不充足的
[法] 不足的, 不充分的, 不能胜任的"
insufflation,"n. 吹入, 吹入法
[医] 吹入法, 注气法, 吹入剂"
insula,"[医] 岛, 脑岛"
insulate,"vt. 使绝缘, 隔离
[医] 绝缘"
insulation,"n. 绝缘；隔离, 孤立"
insulin,"n. 胰岛素
[化] 胰岛素"
insulinoma,n. 胰岛瘤
insult,"n. 侮辱, 无礼, 损害
vt. 损害, 侮辱, 攻击"
insurance,n. 保险；保险费；保险契约；赔偿金
intact,[网络] 完好无缺
intake,[网络] 吸收；语言获得
integral,"n. 整体, 积分, 整数
a. 固有的, 整体的, 整数的, 积分的
[计] 积分"
integrase,n. [生化]整合酶
integrate,"vt. 综合, 使完整, 使成整体
vi. 成一体
a. 完整的, 完全的"
integration,"n. 综合, 与环境协调的行为, 集成
[化] 集成; 整合"
integrin, 整联蛋白
integrity,"n. 正直, 廉正, 完整
[计] 完整性"
integument,"n. 覆盖物
[医] 体被, 皮, 珠被, 包膜"
intellectual,"n. 有知识者, 知识分子, 凭理智做事者
a. 智力的, 用脑力的, 聪明的"
intelligence,[网络] 智力；理解力；智能
intelligible,"a. 可理解的, 易理解的, 纯概念性的"
intemperate,"a. 不节制的, 不温和的, 饮酒过度的"
intended,"adj. 故意的，有意的；打算中的
n. 已订婚者
v. 打算；准备（intend的过去分词）"
intense,[网络] 紧张
intensify,"vt. 加强
vi. 强化"
intensity,[网络] 强度；亮度
intensive,"adj. 加强的；集中的；透彻的；加强语气的
n. 加强器"
intent,"n. 意图, 含义, 故意
a. 专心的, 决心的, 热心的"
intention,"n. 意图, 目的, 含义
[医] 愈合, 意向"
intentional,"a. 故意的, 与目的有关的
[法] 故意的, 有意的"
intentionally,"adv. 故意地, 有意地"
interact,"vi. 互相影响, 交互作用
n. 幕间剧, 幕间休息"
interaction,"un. (美国)《相互影响》月刊
[网络] 互动；作用；动作补间"
intercellular,"a. 在细胞间的
[医] 细胞间的"
interchange,"vt. （指两人等）交换；互换
vi. 交换；相互交换
n. 互换；立体交叉道"
interchangeable,adj. 可互换的；可交换的；可交替的
interchangeably,"adv. 可交换地, 可交替地, 可互换地"
interchromosomal,染色体间的
intercommunication,n. 相互联系，相互沟通；互相联络
intercostal,"a. 脉间的
[医] 肋间的"
intercourse,"n. 交往, 交流
[医] 交际, 往来"
intercurrent,adj. 间发的；中途发生的
interdependence,[网络] 相互依存；依赖；互相依赖
interdependent,[网络] 依赖的；互相依存的；相互依存
interdigitate,"vi. (两手的手指)交错对插
[医] 并指(趾), 犬牙交错"
interface,"n. 分界面, 接触面, 界面
[计] 接口, 界面"
interfere,"vi. 妨碍, 冲突, 干涉, 抵触
[医] 干扰, 干涉, 阻碍, 碰腿(马)"
interference,"n. 冲突, 干涉
[计] 干扰"
interferon,"n. 干扰素
[化] 干扰素"
intergenic,基因间的
interindividual,[网络] 个体间；个人间的互动
interior,"n. 内部, 内政
a. 内部的, 心灵的, 内地的, 内政的"
interleukin,[化] 白介素
intermediary,"n. 仲裁者, 调解者, 媒介物, 中间人
a. 中间的, 媒介的"
intermediate,"n. 中间物, 调停者, 中级
a. 中间的, 中级的
vi. 起媒介作用
[计] 中级"
intermittent,"a. 间歇的, 断断续续的
[化] 间歇的; 间断的"
internal,"a. 内在的, 国内的
[医] 内的, 内部的"
internalization,"n. 成为主观, 内在化"
internalize,vt. 使内在化
interne,"n. 实习医师
[医] 实习医师"
interneuron,(=internuncial neuron)中间神经元
internist,"n. 内科医师
[医] 内科医师"
interoceptor,"n. 内感受器
[医] 内感受器"
interoperability,[网络] 互操作性；互通性；互测
interphase,"n. 分裂期间, 中间相
[医] 核分裂间期"
interpose,"vt. 使插入, 使介于二者间, 使干涉
vi. 插嘴, 干预"
interpret,"vt. 解释, 演出, 翻译, 理解
vi. 翻译, 解释"
interpretable,"a. 可说明的, 可翻译的"
interpretation,"n. 解释, 演出, 翻译
[计] 插值; 插值法; 解释"
interrelation,相互关系
interrogation,"n. 审问, 疑问句, 问号
[电] 询问"
interrupt,"vt. 中止，中断，阻碍；遮断；打断(别人讲话等)；打扰；打破…的平衡(或连续性等)
vi. 打断；打扰
n. 中断；暂停；隔阂；距离；分隔；裂痕；【计算机】中断信号"
interscapular,a. [解]肩胛间的
intersex,"n. 阴阳人, 兼具两性特征者
[医] 雌雄间性, 间性, 雌雄间体"
interspace,间隙;间隔(带)
interspecific,a. 种间的
intersperse,"vt. 散布, 点缀"
interstitial,填隙的
interstitium,[医] 小间隙
interval,"n. 间隔, 距离, 间歇, 间隙
[计] 时间间隔"
intervene,"vi. 插入, 调停, 干涉
[经] 进场干预"
intervention,"n. 插入, 介入, 调停
[经] 干预"
interventional, [医]介入的； 干涉的
intervertebral,adj. [解剖] 椎间的
interview,"n. 接见, 采访；面试, 面谈
vt. 采访；接见；对…进行面谈；对某人进行面试"
intervillous,[医] 绒毛间的
intestinal,"a. 肠的, 肠内的
[医] 肠的"
intestine,"a. 内部的, 国内的
n. 肠"
intima,n. [解]内膜
intimate,"a. 亲密的, 私人的, 秘密的
vt. 暗示, 通知, 告诉
n. 至交"
intimately,"adv. 亲切地, 亲密地, 个人性地"
intolerance,"n. 不宽容, 偏狭, 不容许相反的言论
[医] 不耐[性]"
intolerant,"a. 不容忍的, 不容异说的, 偏执的, 偏狭的, 不宽容的, 不耐的, 不耐性的"
intonation,"n. 朗诵, 语调, 唱
[化] 声调"
intoxicate,"vt. 使陶醉, 使喝醉"
intoxication,"n. 使醉, 沉醉状态
[医] 中毒, 醉[酒]"
intraabdominal,[医] 腹内的
intraalveolar,"牙糟内,肺泡内的"
intraaortic,balloon counterpulsation 【医学】 主动脉内气囊对抗搏动法
intraarterial,[医] 动脉内的
intraarticular,[医] 关节内的
intrabronchial,[医] 支气管内的
intracardiac,a. 心脏内的
intracellular,adj. 细胞内的
intracerebral,a. 大脑内的
intracordally,无
intracranial,"a. 颅内的
[医] 颅内的"
intractability,"n. 难驾驭, 难操作"
intractable,"a. 不听话的, 倔强的, 棘手的
[医] 顽固的, 难治的"
intracytoplasmic,[医] 胞质内的
intradermal,真皮内的
intraepithelial,[医] 上皮内的
intragenic,a. [生]基因内的
intrahepatic,adj. [解剖] 肝内的
intraject,无
intralipid,英脱利匹特(30%)
intraluminal,"a. 管腔内的
[医] 管腔内的"
intramural,[网络] 壁内部的闭塞；子宫内
intramuscular,adj. 肌肉的；肌肉内的
intramusculary,肌肉内
intranasal,[医] 鼻内的
intranuclear,adj. [核] 在原子核内的；[细胞] 在细胞核内的
intraocular,[医] 眼内的
intraoperative,"外科手术进行时发生(或遇到,采取)的"
intrapericardial,[医] 心包内的
intraperitoneal,腹膜内的
intrapleural,[医] 胸膜内的
intrastromal,[医] 基质内的
intrathecal,[医] 鞘内的
intrathoracic,"a. [解]胸内的, 胸廓内的"
intrauterine,[医] 子宫内的
intravascular,"a. 血管内的
[医] 血管内的"
intravenous,adj. 静脉内的
intravenously,"adv. 静脉内地, 静脉注射地"
intraventricular,a. [解]心室内的
intravesical,[医] 膀胱内的
intravital,"a. [生]活体的, 发生于活体内的, 作用于活体的"
intricacy,"n. 纷乱, 复杂, 错综"
intricate,"a. 复杂的, 错综的, 缠结的, 难懂的"
intriguing,"a. 吸引人的, 有趣的"
intrinsic,"a. 本质的, 原有的, 真正的
[医] 内部的, 内在的"
introduce,"vt. 介绍, 引入, 采用, 输入
[法] 引进, 输入, 介绍"
introduction,"n. 介绍, 传入, 采用, 初步"
introductory,"a. 介绍的, 引导的, 开端的"
intron,[化] 内含子
introspection,"n. 内省, 反省
[医] 内省"
intubate,"vt. 把管子插进
[医] 插管"
intubation,"n. 插管, 插管法
[医] 插管[法]"
intussusception,"n. 摄取, 吸收
[医] 套迭, 肠套迭"
invade,"vt. 侵入, 拥入, 侵略, 侵袭
[法] 强入, 侵犯, 侵略"
invalid,"n. 病人, 残废者
a. 有病的, 无效的"
invalidate,"vt. 使无效
[法] 使无效, 使无效力, 使作废"
invalidism,"n. 病弱, 伤残"
invaluable,"a. 无价的, 价值无法衡量的"
invariable,"n. 不变的东西, 常数
a. 不变的, 常数的"
invariably,"adv. 不变化地, 恒定地, 始终如一地"
invariant,"a. 无变化的, 不变的
n. 不变量"
invasion,"n. 侵犯, 侵入, 侵害
[医] 侵袭, 侵入, 发病"
invasive,"a. 侵入的, 侵略性的, 攻击性的"
inverse,"以诗体,用诗歌"
inversely,"adv. 相反地
[机] 反的, 反对"
inversion,"n. 倒转, 倒置, 倒装
[化] 反转; 倒反; 反演; 转化"
