defensive,"adj.防御用的,自卫的n.防御"
shear,"v.剪,修剪,剪切"
shelter,"n.掩蔽处,身避处,掩蔽,保护,庇护所,掩体v.掩蔽,躲避"
speculate,"vi.推测,思索,做投机买卖"
spirit,"n.精神,灵魂,幽灵,妖精,勇气,火力,热情,情绪vt.诱拐,鼓励,鼓舞"
stuffed,
synthetic,"adj.合成的,人造的,综合的"
turbulence,"n.骚乱,动荡,(液体或气体的)紊乱"
uncanny,adj.离奇的
unfeasible,"adj.不能实行的,难实施的"
unlikely,"adj.未必的,不太可能的,靠不住的"
yearning,"n.向往adj.怀念的,向往的"
prosecute,"vt.实行,从事,告发,起诉vi.告发,起诉,作检察官"
unintentionally,
disturb,"vt.弄乱,打乱,打扰,扰乱v.扰乱"
sign,"n.标记,符号,记号,征兆,迹象,征候v.签名(于),署名(于)～,签署"
habitat,"n.(动植物的)生活环境,产地、栖息地,居留地,自生地,聚集处"
acre,"n.英亩,(pl.)地产,大片田地"
aside,"adv.在旁边,到旁边"
block,"n.木块,石块,块,街区,印版,滑轮,阻滞,(一)批vt.防碍,阻塞"
coalition,"n.合并,接合,联合"
compensate,"v.偿还,补偿,付报酬"
confront,"vt.使面临,对抗"
corrode,"v.使腐蚀,侵蚀"
crack,"n.裂缝,噼啪声v.(使)破裂,裂纹,(使)爆裂adj.最好的,高明的"
crash,"n.碰撞,坠落,坠毁,撞击声,爆裂声v.碰撞,坠落,坠毁,(指商业公司,政府等)破产,垮台"
curb,n.路边
damage,"n.损害,伤害v.招致损害n.[律] (用复数)赔偿金"
decide,"v.决定,判决"
designate,"vt.指明,指出,任命,指派v.指定,指派"
disappoint,vt.使失望
drown,"v.溺死,淹死vt.淹没"
extinct,"adj.熄灭的,灭绝的,耗尽的vt.<古>使熄灭"
interim,"adj.中间的,临时的,间歇的n.中间时期,过渡时期,暂定"
negotiate,"v.(与某人)商议,谈判,磋商,,买卖,让渡(支票、债券等),通过,越过"
occupy,"vt.占,占用,占领,占据"
remain,"vi.保持,逗留,剩余,残存"
segregate,v.隔离
species,"n.种类,(原)核素n.[律]式样n.[宗]圣餐物"
suitable,"adj.适当的,相配的"
uneasy,"adj.心神不安的,不自在的,不稳定的,不舒服的adv.心神不安地,不自在地,不稳定地"
withdraw,"vt.收回,撤消vi.缩回,退出v.撤退"
cock,"n.公鸡,雄鸟,头目,(水)龙头,<俚>阴茎vt.使耸立,使竖起,堆成锥形vi.大摇大摆地走,翘起"
crow,"n.乌鸦,似乌鸦的鸟,撬棍vi.啼叫,报晓,(婴孩)格格地笑"
dove,n.鸽子 vbl.dive 的过去式
eagle,"n.鹰,鹰状标饰"
flap,"n.拍打,拍打声,副翼v.拍打,鼓翼而飞,飘动,拉下(帽)的边,扔,掷"
hatch,"n.孵化,舱口,舱口盖,(门、墙壁、地板上的)开口vt.孵,孵出,策划,图谋vi.孵化"
hover,v.盘旋
owl,"n.[动]猫头鹰,枭,惯于晚上活动的人 Object Window Library,Borland C++ 的类库"
pigeon,n.鸽子
intelligence,"n.智力,聪明,智能"
note,"n.笔记,短信,(外交)照会,注解,注释,票据,纸币,音符vt.注意,记录,笔记"
traditional,"adj.传统的,惯例的,口传的,传说的"
analytical,"adj.分析的,解析的"
verbal,adj.口头的
fail,"vi.失败,不及格,忘记vt.使失望,舍弃,辜负,不及格n.不及格,不及格者"
critical,"adj.评论的,鉴定的,批评的,危急的,临界的"
solve,"vt.解决,解答"
analogy,"n.类似,类推"
bookstore,n.书店
chronological,adj.按年代顺序排列的
clearly,"adv.明朗地,明显地,无疑地"
correlate,vt.使相互关联vi.和...相关
deduce,"vt.推论,演绎出"
elude,v.躲避
encompass,"v.包围,环绕,包含或包括某事物"
feature,"n.面貌的一部分(眼,口,鼻等)特征,容貌,特色,特写vt.是...的特色,特写,放映vi.起重要作用"
fold,"n.折,羊栏,折痕,信徒vt.折叠,包,合拢,抱住,笼罩,调入,交迭vi.折叠起来,彻底失败"
fondness,"n.爱好,溺爱"
leadership,"n.领导能力,领导阶层"
negatively,"adv.否定地,消极地"
neurology,"n.神经学,神经病学"
numerical,"adj.数字的,用数表示的adj.数字的,用数字表示的"
parade,"n.游行,炫耀,阅兵,检阅,阅兵场v.游行,炫耀,夸耀,(使)列队行进"
populate," 板上组装;v.使人民居住,移民"
psychologist,n.心理学者
query,"n.质问,询问,怀疑,疑问v.询问,表示怀疑"
scholastic,"adj.学校的,学校教育的,学者的,学究的,经院的或经院哲学家的n.经院哲学家,学究,墨守成规者,学生"
score,"n.得分,乐谱,抓痕,二十,终点线,刻痕,帐目,起跑线vt.把...记下,刻划,划线,获得,评价vi.记分,刻痕,得分"
smart,"n.刺痛,痛苦adj.巧妙的,聪明的,漂亮的,潇洒的,刺痛的,剧烈的,厉害的,敏捷的vi.刺痛,懊恼 轻快地,严厉地,灵巧地,精确的,时髦地,大大的"
specify,"vt.指定,详细说明,列入清单"
standardized,
supplement,"n.补遗,补充,附录,增刊v.补充"
testify,"v.证明,证实,作证"
toil,"n.辛苦,苦工,网,罗网,圈套vi.苦干,跋涉,费力地做"
variation,"n.变更,变化,变异,变种,[音]变奏,变调"
visualize,"vt.形象,形象化,想象vi.显现"
World Wide Web,
economist,"n.经济学者,经济家,[古]节俭的人,节约者"
warn,"vt.警告,注意,通知vi.发出警告,发出预告"
rising,"adj.上升的,上涨的,增加的,有前途的n.上升,起立,起义"
inequality,"n.不平等,不同,不等式,不平均,(表面)不平坦(用复数)"
increasing," vbl.渐增的,越来越多的"
inherited,"adj.通过继承得到的,遗传的 继承权的"
bizarre,"adj.奇异的(指态度,容貌,款式等)"
wealthy,"adj.富有的,丰裕的,充分的n.富人,有钱人"
aristocratic,"adj.贵族的,贵族化的,贵族政治的"
family,"n.家庭,家族,家属,亲属,子女,僚属adj.家庭的,家族的"
still,"n.寂静,剧照,照片adj.静止的,静寂的adv.还,仍,更,还要,尽管如此,依然 静止画面,静态图片"
symbolic,"adj.象征的,符号的"
heart,"n.心,心脏,中心,心地,心情,精神,宝贝儿,感情vt.把...放在中心"
modern,"n.现代人,有思想的人adj.近代的,现代的,现代化的,时髦的"
democratic,"adj.民主的,民主主义的,民主政体的,平民的"
aristocrat,n.贵族
class conflict,
class,"n.班级,阶级,社会等级,种类,(一节)课vt.把...分类(或分等级)"
hierarchy,n.层次 层级
noble,"adj.高尚的,贵族的,高贵的n.贵族"
rank,"n.等级,横列,阶级adj.繁茂的,恶臭的,讨厌的,下流的vt.排列,归类于,把...分等vi.列为,列队n.[数] 秩"
royal,"adj.王室的,皇家的,第一流的,高贵的"
social inequality,
stable,adj.稳定的
abolished,
autonomy,n.自治
consensus,"n.一致同意,多数人的意见,舆论"
democracy,"n.民主政治,民主主义"
demonstrate,"vt.示范,证明,论证vi.示威"
irrational,"adj.无理性的,失去理性的"
liberty,"n.自由,特权,随意,冒失,冒昧,失礼"
patriotic,"adj.爱国的,有爱国心的"
political,"adj.政治的,行政上的"
politician,"n.政治家,政客"
politics,"n.政治,政治学,政纲,政见"
represent,"vt.表现,描绘,声称,象征,扮演,回忆,再赠送,再上演vi.提出异议"
session,"n.会议,开庭"
statesman,n.政治家
supervision,"n.监督,管理"
unanimous,"adj.意见一致的,无异议的"
universality,"n.普遍性,一般性,多方面性,广泛性"
wholesome,"adj.卫生的,有益的,健康的,有益健康的"
call,"n.喊声,叫声,命令,号召,访问,叫牌,通话,必要v.呼叫,召集,称呼,认为,命名,打电话"
disassemble,"vt.解开,分解"
telescope,n.望远镜v.压缩
ban,"n.禁令vt.禁止,取缔(书刊等)"
future,"n.未来,将来,前途,远景adj.未来的,将来的"
development,n.发展
ignore,"vt.不理睬,忽视,[律](因证据不足而)驳回诉讼"
reality,"n.真实,事实,本体,逼真"
astronomy,n.天文学
seek,"v.寻找,探索,寻求"
astronaut,"n.太空人,宇航员"
aviation,"n.飞行,航空,航空学,航空术"
bang,"n.重击,突然巨响v.发巨响,重击"
cluster,"n.串,丛;vi.丛生,成群"
comet,n.彗星
cosmic,adj.宇宙的
cosmos, 宇宙
dwarf planet,
Earth,
eclipse,"n.食,日蚀,月蚀,蒙蔽,衰落vt.引起日蚀,引起月蚀,超越,使黯然失色"
equator,"n.赤道,赤道似的圈.圆"
full moon,
galaxy,"n.星系,银河,一群显赫的人,一系列光彩夺目的东西"
half-moon,
horizon,"n.地平线n.地平(线),(知识,思想等的)范围,视野"
lunar,"adj.月的,月亮的"
Mars,
Mercury,
meridian,"n.子午线,正午,顶点,全盛时期adj.子午线的,正午的,顶点的,全盛时期的"
Milky Way,
moon,"n.月球,月亮,卫星"
navigation,"n.航海,航空,导航,领航,航行"
new moon,
observe,"vt.观察,观测,遵守,评述,说"
orbit,"n.轨道,势力范围,生活常规,眼眶vt.绕...轨道而行vi.进入轨道,沿轨道飞行,盘旋"
outer space,
planet,n.[天]行星
probe,"n.探针,探测器vt.(以探针等)探查,查明"
radiate,"vt.放射,辐射,传播,广播vi.发光,辐射,流露adj.有射线的,辐射状的"
ray,"n.光线,闪烁,微量vi.射出光线,浮现,放射光线vt.放射,显出"
revolve,"v.(使)旋转,考虑,循环出现"
rotary,adj.旋转的
rotate,v.(使)旋转 /v.旋转/翻转
satellite communication,
satellite,n.人造卫星
shuttle,"n.往返汽车(列车、飞机),航天飞机,梭子,穿梭v.穿梭往返"
solar radiation,
space,"n.空间,间隔,距离,空地,余地,一段时间vt.留间隔,隔开"
spaceship,n.太空船
space station,
spatial,adj.空间的
spin,"v.旋转,纺,纺纱n.旋转"
star,"n.星,恒星,明星,名角"
sun,"n.太阳,阳光,恒星vt.晒n.(Sun) 星期天(=Sunday) 美国Sun公司,主要生产SUN系列工作站和网络产品,是JAVA语言的创始者"
twinkle,"v.闪烁,闪耀,(使)闪光n.闪烁,发光,牛眼"
Venus,
unique,"adj.唯一的,独特的"
capacity,"n.容量,生产量,容量,智能,才能,能力,接受力,地位"
turn around,
superfluous,"adj.多余的,过剩的,过量的"
goods,"n.货物,<美俚>工具"
sculpture,"n.雕刻,雕刻品,雕塑,雕塑品,[地理] 刻蚀v.雕刻,雕塑,刻蚀"
religion,"n.宗教,信仰"
philosophy,"n.哲学,哲学体系,达观,冷静"
advent,"n.(尤指不寻常的人或事)出现,到来 (Advent)n. 基督降临 2降临节"
amazing,adj.令人惊异的
caution,"n.小心,谨慎,警告vt.警告"
cell phone,
consumption,"n.消费,消费量,肺病"
definition,"n.定义,解说,精确度,(轮廓影像等的)清晰度"
download,"下载,下传"
fabulous,"adj.寓言中的,寓言般的,神话般的,传统上的,惊人的,难以置信的"
gallery,"n.走廊、戏院、教堂等中最高的楼座,美术陈列室,画廊,图库"
inheritor,"n.继承人,后继者"
laptop,膝上型电脑
marvel,"n.奇迹v.大为惊异,觉得惊奇"
paintbrush,"n.画笔,漆刷"
passive,adj.被动的
printing press,
studio,"n.画室,照相室,工作室,(无线电或电视节目的)演播室,(制作电影的)摄影棚,(电影公司的)摄影场"
typewriter,n.打字机
upload,上载
vacuum,"n.真空,空间,真空吸尘器adj.真空的,产生真空的,利用真空的vt.用真空吸尘器打扫"
aesthetic,"adj.美学的,审美的,有审美感的"
canvas,v.彻底讨论探究n.帆布
cast,"n.投掷,铸件,脱落物,一瞥,演员表v.投,抛,投射,浇铸,计算,派(角色)"
cathedral,n.大教堂
Catholic,
costume,"n.装束,服装"
debut,"n.v.初次登场,开张"
glamour,"n.[亦作glamor] 魔力,魅力v.迷惑"
glitter,"vi.闪闪发光,闪烁,闪光n.闪光"
glorious,"adj.光荣的,显赫的"
glow,"vi.发光,发热"
gorgeous,"adj.华丽的,灿烂的"
gown,"n.长袍,法衣,礼服,睡袍"
graceful,adj.优美的
insight,"n.洞察力,见识"
inspiration,n.灵感
instrumental,"adj.仪器的,器械的,乐器的"
melody,n.悦耳的音调
monster,"n.怪物,妖怪"
mosaic,"n.镶嵌,镶嵌图案,镶嵌工艺adj.嵌花式的,拼成的 最早出现的Internet上的WEB浏览器"
patron,"n.(对某人,某种目标,艺术等)赞助人,资助人"
portrait,"n.肖像,人像"
prototype,n.原型
rehearsal,"n.排演,演习,预演,试演"
statue,vt.以雕像装饰n.雕像
stereo,"n.立体声系统,立体声,[印]铅版,立体照片adj.立体的,立体感觉的"
tempo,"n.(音乐)速度、拍子,发展速度"
tune,"n.曲调,调子,和谐,合调vt.调音,调整,拨收,收听,知道或察觉他人所说的话或表现的情绪"
claim,"n.(根据权利提出)要求,要求权,主张,要求而得到的东西vt.(根据权利)要求,认领,声称,主张,需要"
work one's way through,
interaction,"n.交互作用,交感"
confrontation,"n.面对,面对面,对质"
competing,
belief,"n.信任,信心,信仰"
technology,"n.工艺,科技,技术"
transform,"vt.转换,改变,改造,使...变形vi.改变,转化,变换n.[数]变换(式),[语]转换"
credible,"adj.可信的,可靠的"
ambiguous,"adj.暧昧的,不明确的"
aspect,"n.样子,外表,面貌,(问题等的)方面"
carry out,
collect,"v.收集,聚集,集中,搜集adj.由收件人付款的adv.由收件人付款地"
conception,"n.观念,概念"
confirmation,"n.证实,确认,批准"
convince,"vt.使确信,使信服"
correspond,"vi.符合,协调,通信,相当,相应"
disbelief,n.怀疑
duplication,"n.副本,复制"
error,"n.错误,过失,误差"
exist,"vi.存在,生存,生活,继续存在"
incomplete,"adj.不完全的,不完善的"
incorrect,"adj.错误的,不正确的"
mature,"adj.成熟的,到期的,充分考虑的,(票据等)到期的vt.使成熟vi.成熟,到期"
modification,"n.更改,修改,修正"
process,"n.过程,作用,方法,程序,步骤,进行,推移vt.加工,处理"
refutation,n.驳斥
revise,"vt.修订,校订,修正,修改"
self-deception,
subsequent,"adj.后来的,并发的"
throughout," prep.遍及,贯穿adv.到处,始终,全部"
incredible,adj.<口>难以置信的
reliance,"n.信任,信心,依靠,依靠的人或物"
suspicion,"n.猜疑,怀疑"
suspicious,"adj.(～ of) 可疑的,怀疑的"
contend,"v.斗争,竞争,主张"
peer,"n.同等的人,贵族vi.凝视,窥视vt.与...同等,封为贵族"
positive,"adj.肯定的,实际的,积极的,绝对的,确实的adj.[数]正的adj.[电]阳的adj.[语法] 原级的"
force,"n.力量,武力,精力,魄力,势力,暴力,[复]军队,影响力vt.强制,强加,(用武力)夺取,促使,推动,施加压力"
organization,"n.组织,机构,团体"
dynamic,"adj.动力的,动力学的,动态的"
behavior,"n.举止,行为"
behaviour,"n.行为,举止,习性"
convincingly,"adv.信服地,有说服力地"
critique,n.批评
doubt,"n.怀疑,疑惑,疑问v.怀疑,不信,拿不准,<古>恐怕"
exert,"vt.尽(力),施加(压力等),努力v.发挥,竭尽全力,尽"
fit,"n.突然发作,适合,痉挛,一阵adj.合适的,恰当的,健康的,,准备好的vt.适合,安装,使合身,使适应,使合格vi.适合,符合"
flaw,"n.缺点,裂纹,瑕疵,一阵狂风vt.使破裂,使有缺陷,使无效vi.生裂缝,变的有缺陷"
general,"n.普通,将军,概要adj.一般的,普通的,综合的,概括的,全面的,大体的 n.常规"
glaring,adj.耀眼的
imitate,"vt.模仿,仿效,仿制,仿造v.模仿"
initiative,n.主动
invitation,"n.邀请,招待"
irrelevant,"adj.不相关的adj.不相关的,不切题的"
mobilize,v.动员
observer,"n.观测者,观察员,遵守者"
perceptive,adj.有理解的
persuasive,"n.说服者,劝诱adj.善说服的"
plead,"vi.辩护,恳求vt.为...辩护,借口,托称"
powerful,"adj.强大的,有力的"
psychology,"n.心理学,心理状态"
steer,"v.驾驶,掌舵"
tactic,"n.策略,战略adj.按顺序的,排列的"
troublemaker,"n.惹麻烦的人,捣乱者"
unconsciously,"adv.无意中,不知不觉"
virtuous,"adj.善良的,有道德的,贞洁的,有效力的"
whisper,"n.耳语,私语,密谈,谣传,飒飒的声音vi.耳语,密谈,飒飒地响vt.低声说"
impossible,"adj.不可能的,不会发生的,难以忍受的"
possible,"adj.可能的,可能存在或发生的"
probably,"adv.大概,或许"
prospective,adj.预期的
historic,"adj.历史上著名的,有历史性的"
squeeze,"n.压榨,挤v.压榨,挤,挤榨"
technological,adj.科技的
permanently,"adv.永存地,不变地"
decrease,"n.减少,减少之量v.减少"
product,"n.产品,产物,乘积"
first-class,
mail,"n.邮件,邮政,盔甲vt.邮寄,给...穿盔甲"
regulatory,adj.调整的
structure,"n.结构,构造,建筑物vt.建筑,构成,组织"
deny,"v.否认,拒绝"
management,"n.经营,管理,处理,操纵,驾驶,手段"
flexibility,"n.弹性,适应性,机动性,挠性"
adjust,"vt.调整,调节,校准,使适合"
operation,"n.运转,操作,实施,作用,业务,工作,手术,军事行动"
delivery,"n.递送,交付,分娩,交货,引渡n.[律] 财产等的正式移交 发送,传输"
post,
postage,n.邮资
Postal Service,
postal,"adj.邮政的,邮局的"
postman,n.邮差
postmaster,n.邮局女局长
arduous,"adj.费劲的,辛勤的,险峻的"
despairing,"adj.绝望的,失望的"
dilemma,"n.进退两难的局面,困难的选择"
embarrass,"vt.使困窘,使局促不安,阻碍,麻烦"
handicap,"n.障碍,阻碍,障碍赛跑v.妨碍,使不利,阻碍"
involved,"adj.棘手的,有关的"
opaque,"n.不透明物adj.不透明的,不传热的,迟钝的"
painstaking,"n.苦干,辛苦adj.辛苦的,辛勤的,艰苦的"
plight,"n.情况,状态,困境,盟誓(婚姻)vt.保证,约定"
rigorous,"adj.严格的,严厉的,严酷的,严峻的"
strait,"adj.艰难的,苦恼的,窘迫的n.地峡,[straits] 海峡"
stranded,
strenuous,"adj.奋发的,使劲的,紧张的,热烈的,艰辛发奋的"
inhibit," 抑制,约束,[化][医]抑制"
interference,"n.冲突,干涉"
obstruct,"v.阻隔,阻塞,遮断(道路、通道等)n.阻碍物,障碍物"
preclude,n.排除
withhold,"vt.使停止,拒给,保留,抑制vi.忍住"
unhappy,"adj.不幸的,不快乐的,不适当的"
rarely,"adv.很少地,罕有地"
wonder,"n.奇迹,惊奇,惊愕vt.对...感到惊讶,惊奇,想知道vi.惊讶,怀疑adj.非凡的,奇妙的"
childless,adj.无儿女的
bother,"vt.烦扰,打扰vi.烦恼,操心n.麻烦,烦扰v.打扰"
single,"adj.单一的,单身的,单纯的,孤独的,专一的,个别的n.一个,单打,单精度型vt.选出vi.[棒]作一垒打"
misery,
direct,"adj.径直的,直接的,直系的,直率的,[天]由西向东运行的,顺行的adv.直接地vt.指引,指示,指挥,命令,导演vi.指导,指挥"
